"Location","Capacity","10-Dec-09","11-Dec-09","12-Dec-09","13-Dec-09","14-Dec-09","15-Dec-09","16-Dec-09","17-Dec-09","18-Dec-09"
"Mississippi State Penitentiary","4,435","3,926","3,925","3,923","3,921","3,918","3,919","3,932","3,931","3,940"
"Central Mississippi Correctional Facility","3,665","3,256","3,263","3,261","3,258","3,247","3,268","3,273","3,286","3,247"
"South Mississippi Correctional Institution","3,204","2,894","2,904","2,905","2,904","2,912","2,912","2,908","2,903","2,895"
"County Jails","1,486","1,538","1,519","1,519","1,519","1,505","1,500","1,496","1,468","1,479"
"COMMUNITY WORK CENTERS","1,848","1,773","1,780","1,778","1,777","1,789","1,792","1,789","1,797","1,794"
"Alcorn Satellite Facility","92","88","88","88","88","87","87","89","89","89"
"Bolivar Satellite Facility","102","93","100","100","100","100","100","101","101","102"
"Forrest Satellite Facility","96","95","93","93","93","91","91","91","96","95"
"George Satellite Facility","102","101","101","101","101","100","100","102","102","101"
"Harrison Satellite Facility","102","100","100","100","100","99","99","99","101","101"
"Jackson Satellite Facility","102","95","95","95","95","94","94","94","98","98"
"Jefferson Satellite Facility","102","96","96","96","96","101","101","99","98","99"
"Leflore Satellite Facility","102","101","101","101","101","100","100","97","96","96"
"Madison Satellite Facility","102","101","102","101","101","102","100","99","100","100"
"Noxubee Satellite Facility","92","92","92","92","92","92","92","91","91","90"
"Pike Satellite Facility","93","86","73","72","72","78","85","85","87","86"
"Quitman Satellite Facility","93","92","92","92","92","90","90","93","93","93"
"Rankin Satellite Facility","260","254","254","254","254","250","251","250","249","249"
"Simpson Satellite Facility","102","97","102","102","102","102","102","101","102","102"
"Washington Satellite Facility","102","94","98","98","98","101","98","97","97","96"
"Wilkinson Satellite Facility","102","89","92","92","92","102","102","100","97","97"
"Yazoo Satellite Facility","102","99","101","101","100","100","100","101","100","100"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,819","2,823","2,820","2,813","2,812","2,809","2,815","2,820","2,826"
"Bolivar County","294","260","263","261","260","257","257","262","263","263"
"Carroll County","280","251","251","251","251","251","251","250","250","250"
"George County","280","249","250","250","249","249","248","249","248","248"
"Holmes County","280","249","249","249","247","250","249","249","250","250"
"Issaquena County","274","246","246","246","246","245","245","244","245","245"
"Jefferson County","280","251","250","249","249","247","247","250","249","250"
"Kemper County","355","317","318","318","318","316","316","315","316","319"
"Leake County","280","249","248","248","246","249","249","250","251","251"
"Marion County","280","249","250","250","250","249","248","248","247","247"
"Stone County","280","249","249","249","249","249","250","251","251","251"
"Winston County","280","249","249","249","248","250","249","247","250","252"
"PRIVATE PRISONS","5,972","5,292","5,294","5,291","5,287","5,288","5,290","5,296","5,296","5,298"
"Delta","972","897","899","898","898","897","896","898","900","902"
"East Mississippi","1,500","1,322","1,324","1,323","1,322","1,318","1,318","1,322","1,322","1,322"
"Marshall County","1,000","915","914","914","914","912","915","915","915","915"
"Walnut Grove","1,500","1,212","1,212","1,212","1,211","1,213","1,214","1,214","1,212","1,208"
"Wilkinson County","1,000","946","945","944","942","948","947","947","947","951"
"RESTITUTION CENTERS","16","9","9","9","9","10","10","10","10","10"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","2","2","2","2","3","3","3","3","3"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","9","12","12","13","11","9","11","12","15"
"TOTALS","23,795","21,522","21,535","21,524","21,507","21,498","21,515","21,536","21,529","21,510"
