"Location","Capacity","18-Dec-19","19-Dec-19","20-Dec-19","21-Dec-19","22-Dec-19","23-Dec-19","24-Dec-19","25-Dec-19","26-Dec-19","27-Dec-19","28-Dec-19","29-Dec-19","30-Dec-19","31-Dec-19","Avg Population"
"Mississippi State Penitentiary","3,560","3,259","3,255","3,256","3,254","3,255","3,260","3,258","3,258","3,253","3,248","3,248","3,247","3,259","3,245","3,255"
"Central Mississippi Correctional Facility","4,094","3,794","3,825","3,874","3,872","3,871","3,819","3,818","3,819","3,837","3,838","3,839","3,836","3,842","3,864","3765"
"Youthful Offender Unit","58","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,661","2,661","2,652","2,653","2,653","2,652","2,653","2,653","2,682","2,643","2,643","2,640","2,620","2,624","2652"
"County Jails","1,793","1,174","1,176","1,175","1,175","1,175","1,195","1,193","1,196","1,197","1,188","1,188","1,188","1,163","1,133","1221"
"COMMUNITY WORK CENTERS","1,372","817","800","798","795","790","801","794","794","792","791","790","786","827","","792"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","66","65","64","64","64","64","64","64","67","67","67","67","67","67","67"
"Delta TVC","324","176","164","160","159","157","157","150","150","149","148","147","146","173","171","149"
"Forrest Satellite Facility","96","54","54","54","54","54","54","54","54","54","54","54","54","54","53","55"
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","37","37","37","37","37","37","37","37","36","36","36","36","36","36","37"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","73","72","71","71","71","71","71","71","71","71","71","71","80","80","72"
"Noxubee Satellite Facility","58","46","45","45","45","45","45","45","45","45","45","45","45","45","45","46"
"Pike Satellite Facility","93","63","63","63","63","63","74","74","74","74","74","74","74","75","75","67"
"Quitman Satellite Facility","93","64","64","64","64","64","63","63","63","63","63","63","63","61","68","65"
