"Location","Capacity","10-Jan-14","11-Jan-14","12-Jan-14","13-Jan-14","14-Jan-14","15-Jan-14","16-Jan-14","17-Jan-14","18-Jan-14"
"Mississippi State Penitentiary","4,648","3,334","3,334","3,332","3,332","3,330","3,328","3,325","3,324","3,320"
"Central Mississippi Correctional Facility","3,665","3,259","3,255","3,251","3,231","3,221","3,214","3,218","3,212","3,209"
"Youthful Offender Unit","42","39","39","39","39","39","39","38","38","38"
"South Mississippi Correctional Institution","3,282","3,195","3,192","3,189","3,178","3,178","3,177","3,195","3,191","3,187"
"County Jails","1,905","2,031","2,052","2,031","2,063","2,140","2,107","2,153","2,205","2,205"
"COMMUNITY WORK CENTERS","1,848","1,258","1,255","1,254","1,277","1,266","1,261","1,233","1,199","1,196"
"Alcorn Satellite Facility","92","89","89","89","89","89","89","89","88","88"
"Bolivar Satellite Facility","102","62","62","62","62","62","62","62","61","61"
"Forrest Satellite Facility","96","52","52","52","53","53","53","57","56","56"
"George Satellite Facility","102","67","67","66","67","66","66","38","38","38"
"Harrison Satellite Facility","102","66","66","66","72","72","71","70","66","66"
"Jackson Satellite Facility","102","62","62","62","66","65","65","66","61","61"
"Jefferson Satellite Facility","102","59","59","59","62","61","60","60","57","57"
"Leflore Satellite Facility","102","59","58","58","57","57","56","56","53","51"
"Madison Satellite Facility","102","62","62","62","60","59","59","58","58","58"
"Noxubee Satellite Facility","92","68","68","68","76","76","76","76","76","76"
"Pike Satellite Facility","93","90","90","90","89","87","87","87","86","85"
"Quitman Satellite Facility","93","85","85","85","85","85","84","84","81","81"
"Rankin Satellite Facility","260","207","206","206","209","208","207","205","198","198"
"Simpson Satellite Facility","102","80","80","80","80","80","82","82","82","82"
"Washington Satellite Facility","102","65","64","64","61","58","58","58","57","57"
"Wilkinson Satellite Facility","102","45","45","45","47","46","44","43","40","40"
"Yazoo Satellite Facility","102","40","40","40","42","42","42","42","41","41"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,391","4,368","4,387","4,356","4,277","4,333","4,325","4,314","4,313"
"Alcorn County","300","292","292","292","289","289","289","289","287","286"
"Bolivar County","369","366","366","366","362","361","360","359","358","358"
"Carroll County","280","276","276","276","275","275","275","274","273","273"
"Chickasaw County","300","298","298","297","297","296","296","296","295","295"
"George County","280","275","274","273","270","270","268","266","265","265"
"Holmes County","280","280","280","280","275","274","274","274","274","274"
"Issaquena County","274","272","272","272","272","272","272","272","272","272"
"Jefferson County","280","277","277","277","275","272","272","272","271","271"
"Kemper County","355","353","353","353","353","351","351","351","351","351"
"Leake County","280","277","277","277","273","271","270","270","270","270"
"Marion County","280","280","280","280","280","280","280","280","280","280"
"Stone County","280","277","277","277","276","272","272","272","272","272"
"Washington County","300","297","275","296","292","292","292","292","291","291"
"Winston County","280","275","275","275","275","273","273","269","266","266"
"Yazoo County","300","296","296","296","292","229","289","289","289","289"
"PRIVATE PRISONS","5,972","4,365","4,363","4,362","4,355","4,351","4,349","4,347","4,338","4,337"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,193","1,192","1,192","1,191","1,191","1,190","1,190","1,188","1,187"
"Marshall County","1,000","993","992","992","990","990","989","989","987","987"
"Walnut Grove","1,500","1,285","1,285","1,284","1,281","1,279","1,279","1,278","1,274","1,274"
"Wilkinson County","1,000","894","894","894","893","891","891","890","889","889"
"RESTITUTION CENTERS","16","11","11","11","11","11","11","11","10","10"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","4","4","4","4","4","4","4","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,611","21,883","21,869","21,856","21,842","21,813","21,819","21,845","21,831","21,815"
