"Location","Capacity","14-Aug-05","15-Aug-05","16-Aug-05","17-Aug-05","18-Aug-05","19-Aug-05","20-Aug-05","21-Aug-05","22-Aug-05","23-Aug-05","24-Aug-05","25-Aug-05","26-Aug-05"
"Mississippi State Penitentiary","4,630","4,457","4,449","4,443","4,415","4,393","4,377","4,369","4,366","4,342","4,318","4,327","4,339","4,326"
"Central Mississippi Correctional Facility","3,219","3,039","3,078","3,096","3,110","3,138","3,134","3,132","3,130","3,113","3,128","3,136","3,117","3,135"
"South Mississippi Correctional Institution","2,306","2,175","2,147","2,157","2,175","2,145","2,153","2,151","2,149","2,179","2,205","2,207","2,199","2,188"
"County Jails","2,240","1,685","1,683","1,655","1,655","1,669","1,655","1,655","1,655","1,693","1,681","1,662","1,697","1,704"
"COMMUNITY WORK CENTERS","1,816","1,657","1,697","1,705","1,704","1,702","1,664","1,664","1,658","1,692","1,711","1,710","1,711","1,683"
"Alcorn Satellite Facility","92","86","91","91","91","91","90","90","90","91","91","90","88","86"
"Bolivar Satellite Facility","102","96","100","102","101","101","101","101","101","102","102","100","100","99"
"Forrest Satellite Facility","96","88","89","90","91","91","88","88","85","88","89","88","88","87"
"George Satellite Facility","102","89","89","89","91","91","87","87","86","91","91","92","92","92"
"Harrison Satellite Facility","102","95","96","96","93","93","89","89","88","90","98","98","97","97"
"Jackson Satellite Facility","102","90","95","95","97","99","100","100","100","99","98","98","99","99"
"Jefferson Satellite Facility","102","85","86","92","92","91","85","85","85","89","94","95","95","92"
"Leflore Satellite Facility","102","99","102","102","102","101","100","100","100","101","100","98","97","92"
"Madison Satellite Facility","102","102","101","102","101","102","99","99","99","102","102","102","101","99"
"Noxubee Satellite Facility","92","89","90","90","89","89","87","87","87","92","92","92","92","92"
"Pike Satellite Facility","93","72","73","72","76","76","75","75","74","72","71","71","74","73"
"Quitman Satellite Facility","93","71","71","71","71","71","70","70","70","70","69","78","77","76"
"Rankin Satellite Facility","228","215","219","219","222","221","219","219","219","222","222","222","225","223"
"Simpson Satellite Facility","102","90","97","96","91","90","88","88","88","89","100","99","99","97"
"Washington Satellite Facility","102","99","100","100","98","96","97","97","97","97","98","97","97","94"
"Wilkinson Satellite Facility","102","95","97","97","97","97","94","94","94","99","98","97","97","94"
"Yazoo Satellite Facility","102","96","101","101","101","102","95","95","95","98","96","93","93","91"
"REGIONAL CORRECTIONAL FACILITIES","2,968","2,844","2,854","2,857","2,879","2,896","2,901","2,901","2,897","2,900","2,899","2,913","2,943","2,957"
"Bolivar County","294","248","249","250","271","294","294","294","293","292","294","292","292","292"
"Carroll County","250","247","245","249","249","248","249","249","249","250","250","250","250","250"
"George County","250","247","251","250","250","250","250","250","250","250","250","250","250","250"
"Holmes County","280","249","250","249","248","246","247","247","247","249","249","265","280","279"
"Issaquena County","274","269","270","270","273","273","274","274","274","274","274","274","274","274"
"Jefferson County","250","249","250","250","250","249","249","249","249","249","249","250","250","249"
"Kemper County","280","279","279","280","279","278","279","279","279","279","280","277","277","280"
"Leake County","280","278","281","280","280","280","280","280","279","280","280","280","280","280"
"Marion County","280","250","250","249","249","249","250","250","250","249","245","245","260","275"
"Stone County","280","278","280","280","280","280","280","280","279","280","280","280","280","278"
"Winston County","250","250","249","250","250","249","249","249","248","248","248","250","250","250"
"PRIVATE PRISONS","5,100","4,860","4,867","4,868","4,865","4,848","4,870","4,869","4,864","4,863","4,869","4,869","4,869","4,867"
"Delta","972","968","969","968","969","968","969","969","968","969","971","970","969","970"
"East Mississippi","1,000","871","869","868","868","868","872","872","872","873","873","873","873","874"
"Marshall County","1,000","992","992","994","994","993","995","994","993","992","995","995","995","995"
"Tallahatchie County","128","128","128","128","128","127","127","127","127","127","128","128","128","127"
"Walnut Grove","1,000","920","922","925","923","910","921","921","920","919","920","924","924","922"
"Wilkinson County","1,000","981","987","985","983","982","986","986","984","983","982","979","980","979"
"RESTITUTION CENTERS","16","13","13","12","12","12","11","11","11","11","11","12","12","12"
"Greenwood","6","4","4","4","4","4","3","3","3","4","4","4","4","4"
"Hinds","6","5","5","5","5","5","5","5","5","5","5","6","6","6"
"Pascagoula","4","4","4","3","3","3","3","3","3","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","42","8","6","0","0","38","38","38","4","6","7","6","28"
"TOTALS","22,301","20,777","20,801","20,804","20,820","20,808","20,808","20,795","20,773","20,802","20,833","20,848","20,898","20,905"
