"Location","Capacity","1-May-16","2-May-16","3-May-16","4-May-16","5-May-16","6-May-16","7-May-16","8-May-16","9-May-16"
"Mississippi State Penitentiary","3,590","3,366","3,363","3,360","3,370","3,368","3,374","3,372","3,372","3,360"
"Central Mississippi Correctional Facility","3,506","2,802","2,821","2,845","2,884","2,902","2,879","2,880","2,879","2,918"
"Youthful Offender Unit","58","32","32","32","34","34","33","33","33","34"
"CMCF TVC","","4","4","4","4","4","4","4","4","6"
"South Mississippi Correctional Institution","3,082","3,004","3,005","3,000","2,997","2,989","3,004","3,001","3,000","2,988"
"County Jails","1,986","1,526","1,512","1,496","1,504","1,496","1,466","1,466","1,466","1,459"
"COMMUNITY WORK CENTERS","1,848","1,173","1,165","1,151","1,147","1,147","1,160","1,156","1,154","1,157"
"Alcorn Satellite Facility","92","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","27","27","26","26","26","26","26","26","26"
"Forrest Satellite Facility","96","79","79","79","79","78","80","80","80","82"
"George Satellite Facility","102","87","85","84","83","83","83","83","83","82"
"Harrison Satellite Facility","102","79","79","79","79","79","79","79","79","79"
"Jackson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Lefore TVC","82","79","78","72","69","67","80","77","75","73"
"Lefore TVC Support","20","18","17","17","17","17","17","17","17","17"
"Madison Satellite Facility","102","86","87","87","89","92","92","92","92","92"
"Noxubee Satellite Facility","92","87","89","89","91","91","89","89","89","90"
"Pike Satellite Facility","93","81","82","81","80","79","77","77","77","79"
"Quitman Satellite Facility","93","91","90","90","90","90","89","89","89","90"
"Rankin Satellite Facility","260","168","166","165","165","166","166","166","166","166"
"Flowood TVC","","27","26","26","24","24","27","27","27","27"
"Simpson TVC support","20","16","15","15","15","15","15","15","15","77"
"Simpson TVC","82","82","81","80","80","80","78","77","77","15"
"Washington Satellite Facility","102","99","99","98","97","98","100","100","100","100"
"Wilkinson Satellite Facility","102","67","65","63","63","62","62","62","62","62"
"Yazoo Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,415","3,411","3,414","3,417","3,409","3,407","3,405","3,403","3,407"
"Alcorn County","240","239","239","239","238","239","239","239","239","240"
"Bolivar County","369","292","293","293","291","290","290","290","290","293"
"Carroll County","280","240","240","240","238","240","240","240","240","240"
"Chickasaw County","300","240","240","239","240","240","240","240","240","240"
"George County","280","200","199","199","199","200","200","200","200","200"
"Holmes County","280","200","200","200","208","198","198","198","198","199"
"Issaquena County","274","240","240","240","240","240","240","240","239","238"
"Jefferson County","280","240","239","239","239","240","240","240","240","239"
"Kemper County","355","258","257","260","260","260","260","259","259","259"
"Leake County","280","199","199","198","198","198","198","198","198","199"
"Marion County","280","200","199","198","199","201","201","201","201","201"
"Stone County","280","200","199","201","201","201","200","200","200","200"
"Washington County","300","232","231","231","231","230","230","230","230","229"
"Winston County","280","200","199","200","198","199","199","199","198","200"
"Yazoo County","300","235","237","237","237","233","232","231","231","230"
"PRIVATE PRISONS","5,972","3,925","3,918","3,917","3,898","3,903","3,919","3,918","3,917","3,911"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,097","1,097","1,096","1,094","1,093","1,096","1,095","1,095","1,095"
"Marshall County","1,000","997","996","996","996","996","995","995","995","995"
"Walnut Grove","1,500","938","937","934","919","915","931","931","930","927"
"Wilkinson County","1,000","893","888","891","889","899","897","897","897","894"
"RESTITUTION CENTERS","16","16","16","16","14","14","14","14","14","14"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","6","6","6","4","4","4","4","4","4"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"TOTALS","24,436","19,263","19,247","19,235","19,269","19,266","19,260","19,249","19,242","19,254"
