"Location","Capacity","18-Jan-18","19-Jan-18","20-Jan-18","21-Jan-18","22-Jan-18","23-Jan-18","24-Jan-18","25-Jan-18","26-Jan-18","27-Jan-18","28-Jan-18","29-Jan-18","30-Jan-18","31-Jan-18","Avg Population"
"Noxubee Satellite Facility","58","53","52","52","52","54","53","52","52","50","50","50","55","54","54","52"
"Pike Satellite Facility","93","78","71","71","71","80","80","80","80","81","81","80","79","79","79","79"
"Quitman Satellite Facility","93","42","42","42","42","40","47","46","46","46","46","46","45","43","41","44"
"Rankin Satellite Facility","178","131","119","119","119","126","125","125","124","121","121","120","140","140","139","130"
"Rankin RID","28","10","8","8","8","8","8","8","8","8","8","8","10","10","10","9"
"Flowood TVC","50","11","10","10","10","10","10","13","13","13","13","13","13","13","12","12"
"Simpson TVC","82","50","50","50","50","47","43","43","41","40","39","38","29","29","29","49"
"Simpson TVC Support","20","10","10","10","10","10","10","10","10","9","9","9","10","10","10","11"
"Washington Satellite Facility","60","55","60","60","60","60","57","57","56","55","55","55","57","57","57","56"
"Wilkinson Satellite Facility","62","48","47","47","47","47","47","46","46","44","44","44","44","44","44","47"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","4,298","4,291","4,290","4,290","4,306","4,344","4,324","4,327","4,327","4,325","4,325","4,337","4,350","4,366","4,331"
"Alcorn County","300","292","291","291","292","292","291","290","290","295","294","294","294","293","293","292"
"Bolivar County","369","288","287","287","287","287","294","294","294","294","294","294","293","293","293","292"
"Carroll County","280","261","259","259","259","259","264","264","267","271","271","271","271","271","271","264"
"Chickasaw County","310","303","303","303","303","302","303","303","303","302","302","302","302","300","306","304"
"George County","342","336","329","329","330","329","338","338","338","335","335","335","335","339","336","337"
"Holmes County","280","277","277","277","277","278","279","276","276","275","275","275","280","280","278","278"
"Issaquena County","274","266","266","266","265","268","269","269","268","273","273","273","273","273","273","269"
"Jefferson County","280","272","270","270","270","275","280","280","279","278","277","277","278","278","278","276"
"Kemper County","355","350","350","350","350","347","352","352","349","344","344","344","350","343","353","350"
"Leake County","280","271","271","271","271","278","276","268","272","270","270","270","275","274","275","275"
"Marion County","280","278","280","280","280","280","280","280","279","279","279","279","278","278","278","279"
"Stone County","326","320","326","326","326","327","327","326","324","323","323","323","322","327","327","323"
"Washington County","300","222","222","222","222","222","220","217","217","212","212","212","212","225","225","223"
"Winston County","280","271","269","268","268","270","271","267","272","279","279","279","276","280","280","274"
"Yazoo County","300","291","291","291","290","292","300","300","299","297","297","297","298","296","300","296"
"PRIVATE PRISONS","5,972","3,146","3,139","3,138","3,138","3,166","3,171","3,178","3,184","3,178","3,176","3,176","3,178","3,176","3,194","3,165"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,236","1,231","1,230","1,230","1,251","1,256","1,255","1,262","1,257","1,256","1,256","1,252","1,253","1,271","1246"
"Marshall County","1,000","994","992","992","992","1,000","1,000","1,000","999","999","998","998","998","998","998","997"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","916","916","916","916","915","915","923","923","922","922","922","928","925","925","922"
"RESTITUTION CENTERS","16","9","9","9","9","9","10","10","10","9","9","9","10","10","10","10"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5"
"Hinds","6","3","3","3","3","3","4","4","4","4","4","4","4","4","4","3"
"Pascagoula","4","2","2","2","2","2","2","2","2","1","1","1","2","2","2","2"
"TRANSITIONAL HOUSING","164","29","27","27","27","28","30","30","30","28","28","28","30","30","36","31"
"Madison","40","3","3","3","3","4","4","4","4","3","3","3","3","3","3","3"
"Noxubee","34","14","13","13","13","13","15","15","15","15","15","15","15","15","21","15"
"Rankin/Flowood","8","5","6","6","6","6","6","6","6","5","5","5","7","7","7","6"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","7","5","5","5","5","5","5","5","5","5","5","5","5","5","6"
"TOTALS","24,237","18,894","18,867","18,862","18,857","18,888","18,900","18,880","18,914","18,941","18,933","18,928","18,944","18,964","18,971","18,931"
