"Location","Capacity","1-Sep-04","2-Sep-04","3-Sep-04","4-Sep-04","5-Sep-04","6-Sep-04","7-Sep-04","8-Sep-04","9-Sep-04","10-Sep-04","11-Sep-04","12-Sep-04","13-Sep-04"
"MS STATE PENITENTIARY","4,892","4,811","4,800","4,795","4,791","4,791","4,788","4,779","4,808","4,795","4,786","4,785","4,785","4,816"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,044","3,064","3,076","3,074","3,074","3,075","3,131","3,145","3,169","3,181","3,180","3,179","3,201"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,146","2,144","2,157","2,155","2,153","2,153","2,153","2,154","2,170","2,188","2,186","2,187","2,182"
"COUNTY JAILS","2,209","2,173","2,189","2,157","2,157","2,157","2,159","2,127","2,110","2,096","2,047","2,047","2,047","2,056"
"COMMUNITY WORK CENTERS","1,816","1,688","1,691","1,680","1,678","1,678","1,678","1,672","1,669","1,656","1,615","1,612","1,612","1,660"
"Alcorn Satellite Facility","92","91","90","89","89","89","89","88","88","87","84","84","84","89"
"Bolivar Satellite Facility","102","99","99","99","99","99","99","99","97","96","93","92","92","94"
"Forrest Satellite Facility","96","96","95","94","94","94","94","94","92","92","91","91","91","92"
"George Satellite Facility","102","96","99","99","99","99","99","98","100","100","96","96","96","99"
"Harrison Satellite Facility","102","100","97","96","95","95","95","95","93","90","88","88","88","90"
"Jackson Satellite Facility","102","94","94","94","94","94","94","93","91","91","90","90","90","90"
"Jefferson Satellite Facility","102","93","92","91","91","91","91","90","90","90","89","89","89","94"
"Leflore Satellite Facility","102","99","99","98","97","97","97","97","100","100","101","101","101","102"
"Madison Satellite Facility","102","101","99","98","98","98","98","98","97","101","100","100","100","102"
"Noxubee Satellite Facility","92","88","92","90","90","90","90","87","87","86","85","85","85","87"
"Pike Satellite Facility","93","64","64","64","64","64","64","63","62","61","59","59","59","59"
"Quitman Satellite Facility","93","90","90","90","90","90","90","91","91","89","87","86","86","88"
"Rankin Satellite Facility","228","212","212","212","212","212","212","212","213","210","204","203","203","209"
"Simpson Satellite Facility","102","94","98","95","95","95","95","97","97","96","92","92","92","99"
"Washington Satellite Facility","102","88","88","88","88","88","88","88","88","86","85","85","85","87"
"Wilkinson Satellite Facility","102","82","82","82","82","82","82","81","82","80","75","75","75","79"
"Yazoo Satellite Facility","102","101","101","101","101","101","101","101","101","101","96","96","96","100"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,746","2,740","2,742","2,741","2,740","2,739","2,737","2,743","2,741","2,741","2,741","2,741","2,742"
"Bolivar County","250","250","250","250","250","249","249","248","249","249","250","250","250","250"
"Carroll County","250","250","250","249","250","250","250","250","249","249","249","249","249","250"
"George County","250","249","244","249","249","249","249","249","250","249","249","249","249","250"
"Holmes County","250","250","250","247","247","247","247","248","250","250","249","249","249","247"
"Issaquena County","250","247","246","249","249","249","249","248","248","246","246","246","246","247"
"Jefferson County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Kemper County","250","250","250","250","249","249","249","249","249","249","250","250","250","250"
"Leake County","250","250","250","250","250","250","250","250","250","249","249","249","249","249"
"Marion County","250","250","250","250","250","250","250","250","249","250","250","250","250","250"
"Stone County","250","250","250","250","250","250","250","249","249","250","250","250","250","250"
"Winston County","250","250","250","248","247","247","246","246","250","250","249","249","249","249"
"PRIVATE PRISONS","4,960","4,572","4,578","4,584","4,581","4,578","4,577","4,579","4,575","4,573","4,572","4,572","4,570","4,562"
"Delta       (Reopened 04-01-04)","960","954","953","956","954","953","953","953","959","956","958","958","957","954"
"East MS","1,000","863","875","875","875","875","874","874","872","872","870","870","869","868"
"Marshall County","1,000","994","995","995","995","993","993","995","994","994","994","994","994","993"
"Walnut Grove","1,000","766","762","763","763","763","763","763","756","758","757","757","757","754"
"Wilkinson County","1,000","995","993","995","994","994","994","994","994","993","993","993","993","993"
"RESITITUTION CENTERS","18","13","13","13","13","13","13","13","12","12","12","12","12","12"
"Greenwood","6","6","6","6","6","6","6","6","5","5","5","5","5","5"
"Hinds                                   (See Note Below)","6","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","6","3","3","3","3","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","5","5","5","5"
"E-CODE","","2","1","1","1","2","1","2","3","6","54","46","48","5"
"TOTALS","22,098","21,201","21,226","21,211","21,197","21,192","21,189","21,199","21,225","21,224","21,201","21,186","21,186","21,241"
