"Location","Capacity","22-Jun-14","23-Jun-14","24-Jun-14","25-Jun-14","26-Jun-14","27-Jun-14","28-Jun-14","29-Jun-14","30-Jun-14","Avg Pop"
"Mississippi State Penitentiary","4,648","3,342","3,332","3,332","3,340","3,337","3,320","3,321","3,321","3,328","3,323"
"Central Mississippi Correctional Facility","3,665","2,655","2,655","2,611","2,618","2,567","2,571","2,571","2,572","2,585","2,683"
"Youthful Offender Unit","42","42","42","42","42","42","42","42","42","44","41"
"South Mississippi Correctional Institution","3,282","3,180","3,180","3,179","3,179","3,188","3,188","3,186","3,183","3,184","3,177"
"County Jails","2,020","1,735","1,707","1,752","1,710","1,730","1,743","1,745","1,745","1,708","1,738"
"COMMUNITY WORK CENTERS","1,848","1,117","1,121","1,121","1,124","1,133","1,124","1,124","1,123","1,132","1,126"
"Alcorn Satellite Facility","92","86","84","84","86","86","87","87","87","85","87"
"Bolivar Satellite Facility","102","40","40","40","40","40","39","39","39","39","41"
"Forrest Satellite Facility","96","49","49","49","49","51","51","51","51","49","51"
"George Satellite Facility","102","60","60","60","60","59","58","58","58","58","61"
"Harrison Satellite Facility","102","55","55","55","55","55","56","56","55","57","59"
"Jackson Satellite Facility","102","46","49","49","49","48","46","46","46","48","49"
"Jefferson Satellite Facility","102","51","51","51","51","50","46","46","46","47","49"
"Leflore Satellite Facility","102","51","51","51","47","48","47","47","47","48","50"
"Madison Satellite Facility","102","55","53","53","50","54","56","56","56","56","54"
"Noxubee Satellite Facility","92","76","76","76","76","76","74","74","74","75","71"
"Pike Satellite Facility","93","73","74","74","74","76","75","75","75","75","72"
"Quitman Satellite Facility","93","69","69","69","70","71","71","71","71","70","69"
"Rankin Satellite Facility","260","187","189","189","191","193","191","191","191","197","189"
"Simpson Satellite Facility","102","93","95","95","95","97","97","97","97","97","95"
"Washington Satellite Facility","102","47","46","46","51","50","49","49","49","50","47"
"Wilkinson Satellite Facility","102","37","37","37","37","36","37","37","37","37","37"
"Yazoo Satellite Facility","102","42","43","43","43","43","44","44","44","44","44"
"REGIONAL CORRECTIONAL FACILITIES","4,560","4,382","4,378","4,378","4,392","4,400","4,411","4,406","4,404","4,398","4,391"
"Alcorn County","360","292","294","294","293","291","298","298","298","297","297"
"Bolivar County","369","358","355","355","358","365","369","369","368","366","365"
"Carroll County","280","276","277","277","277","278","277","277","277","275","278"
"Chickasaw County","362","298","296","296","299","298","300","299","299","299","299"
"George County","280","278","277","277","275","278","278","278","278","277","278"
"Holmes County","280","279","280","280","280","280","280","279","279","280","279"
"Issaquena County","274","271","274","274","274","270","269","269","268","272","272"
"Jefferson County","280","277","277","277","279","281","280","279","279","278","277"
"Kemper County","355","350","351","351","351","345","345","345","345","343","351"
"Leake County","280","273","274","274","272","281","282","282","282","282","276"
"Marion County","280","281","282","282","280","280","280","280","280","279","280"
"Stone County","280","278","278","278","278","282","281","280","280","280","279"
"Washington County","300","295","288","288","298","297","297","297","297","296","285"
"Winston County","280","279","278","278","278","277","275","274","274","275","277"
"Yazoo County","300","297","297","297","300","297","300","300","300","299","295"
"PRIVATE PRISONS","5000","4278","4277","4277","4283","4284","4286","4284","4283","4288","4,290"
"East Mississippi","1,500","1,203","1,201","1,201","1,200","1,199","1,197","1,197","1,196","1,200","1,198"
"Marshall County","1,000","997","997","997","1000","996","996","996","997","993","998"
"Walnut Grove","1,500","1,234","1,232","1,232","1,237","1,245","1,249","1,248","1,248","1,254","1,241"
"Wilkinson County","1,000","844","847","847","846","844","844","843","842","841","852"
"RESTITUTION CENTERS","16","12","13","13","13","13","13","13","13","13","13"
"Greenwood","6","5","6","6","6","6","6","6","6","6","6"
"Hinds","6","5","5","5","5","6","6","6","6","6","5"
"Pascagoula","4","2","2","2","2","1","1","1","1","1","2"
"TOTALS","25,081","20,743","20,705","20,705","20,701","20,694","20,698","20,692","20,686","20,680","20,781"
