"Location","Capacity","28-Dec-09","29-Dec-09","30-Dec-09","31-Dec-09","","Avg Population"
"Mississippi State Penitentiary","4,435","3,925","3,919","3,927","3,927","","3,930"
"Central Mississippi Correctional Facility","3,665","3,225","3,238","3,228","3,229","","3,233"
"South Mississippi Correctional Institution","3,204","2,930","2,949","2,973","2,970","","2,883"
"County Jails","1,486","1,465","1,477","1,467","1,467","","1,532"
"COMMUNITY WORK CENTERS","1,848","1,785","1,791","1,797","1,794","","1,787"
"Alcorn Satellite Facility","92","88","88","87","87","","89"
"Bolivar Satellite Facility","102","98","98","98","98","","98"
"Forrest Satellite Facility","96","93","93","93","93","","93"
"George Satellite Facility","102","99","99","99","98","","100"
"Harrison Satellite Facility","102","101","100","102","101","","100"
"Jackson Satellite Facility","102","101","101","100","100","","98"
"Jefferson Satellite Facility","102","102","102","102","102","","100"
"Leflore Satellite Facility","102","93","98","98","98","","98"
"Madison Satellite Facility","102","99","97","97","97","","100"
"Noxubee Satellite Facility","92","92","92","92","92","","92"
"Pike Satellite Facility","93","92","91","93","93","","86"
"Quitman Satellite Facility","93","86","86","92","92","","91"
"Rankin Satellite Facility","260","249","249","250","250","","250"
"Simpson Satellite Facility","102","102","102","102","102","","101"
"Washington Satellite Facility","102","92","97","97","97","","96"
"Wilkinson Satellite Facility","102","99","99","96","95","","96"
"Yazoo Satellite Facility","102","99","99","99","99","","99"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,820","2,820","2,807","2,803","","2,816"
"Bolivar County","294","263","263","263","263","","260"
"Carroll County","280","250","250","249","249","","250"
"George County","280","247","247","246","246","","248"
"Holmes County","280","250","250","247","244","","249"
"Issaquena County","274","244","244","244","243","","244"
"Jefferson County","280","250","250","250","250","","250"
"Kemper County","355","316","316","316","316","","317"
"Leake County","280","250","250","247","247","","249"
"Marion County","280","250","250","246","246","","250"
"Stone County","280","250","250","250","250","","250"
"Winston County","280","250","250","249","249","","249"
"PRIVATE PRISONS","5,972","5,286","5,281","5,284","5,281","","5,295"
"Delta","972","899","898","898","898","","900"
"East Mississippi","1,500","1,312","1,312","1,311","1,312","","1,320"
"Marshall County","1,000","915","915","914","914","","914"
"Walnut Grove","1,500","1,211","1,209","1,210","1,207","","1,213"
"Wilkinson County","1,000","949","947","951","950","","949"
"RESTITUTION CENTERS","16","10","10","10","10","","10"
"Greenwood","6","6","6","6","6","","6"
"Hinds","6","3","3","3","3","","3"
"Pascagoula","4","1","1","1","1","","1"
"GOVERNOR'S MANSION","6","6","6","6","6","","6"
"E-CODE","0","7","8","12","11","","10"
"TOTALS","23,795","21,459","21,499","21,511","21,498","","21,502"
