"Location","Capacity","11-Apr-14","12-Apr-14","13-Apr-14","14-Apr-14","15-Apr-14","16-Apr-14","17-Apr-14","18-Apr-14","19-Apr-14","20-Apr-14","21-Apr-14"
"Mississippi State Penitentiary","4,648","3,346","3,345","3,345","3,342","3,329","3,332","3,314","3,319","3,316","3,314","3,318"
"Central Mississippi Correctional Facility","3,665","2,892","2,889","2,888","2,890","2,860","2,833","2,842","2,787","2,786","2,786","2,791"
"Youthful Offender Unit","42","36","36","36","36","36","36","37","37","37","37","37"
"South Mississippi Correctional Institution","3,282","3,203","3,203","3,203","3,218","3,214","3,224","3,213","3,219","3,216","3,216","3,221"
"County Jails","2,020","1,949","1,949","1,949","1,947","1,962","1,901","1,897","1,920","1,921","1,920","1,919"
"COMMUNITY WORK CENTERS","1,848","1,167","1,165","1,162","1,167","1,102","1,153","1,162","1,166","1,163","1,162","1,163"
"Alcorn Satellite Facility","92","85","85","84","82","84","83","89","88","88","88","87"
"Bolivar Satellite Facility","102","46","46","44","44","44","45","45","43","43","43","44"
"Forrest Satellite Facility","96","52","52","51","49","49","49","51","54","54","54","54"
"George Satellite Facility","102","66","65","64","65","64","67","66","69","68","68","68"
"Harrison Satellite Facility","102","46","46","46","47","46","45","45","51","50","50","49"
"Jackson Satellite Facility","102","45","45","45","46","45","45","45","48","48","48","48"
"Jefferson Satellite Facility","102","43","42","42","42","41","40","40","39","39","39","40"
"Leflore Satellite Facility","102","49","49","52","48","51","50","50","50","50","50","50"
"Madison Satellite Facility","102","62","62","62","62","60","60","58","56","56","56","55"
"Noxubee Satellite Facility","92","79","79","79","79","74","72","71","69","69","69","71"
"Pike Satellite Facility","93","86","86","86","88","41","88","88","88","88","88","87"
"Quitman Satellite Facility","93","72","72","72","77","78","78","78","78","78","78","77"
"Rankin Satellite Facility","260","202","202","201","204","194","202","204","204","203","203","204"
"Simpson Satellite Facility","102","97","97","97","97","100","100","100","98","98","98","98"
"Washington Satellite Facility","102","49","49","49","50","47","44","44","44","44","44","44"
"Wilkinson Satellite Facility","102","42","42","42","40","40","40","44","44","44","43","43"
"Yazoo Satellite Facility","102","46","46","46","47","44","45","44","43","43","43","44"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,414","4,411","4,410","4,405","4,406","4,402","4,410","4,404","4,402","4,400","4,397"
"Alcorn County","300","298","298","298","296","295","295","300","300","300","299","299"
"Bolivar County","369","369","368","368","368","370","370","369","369","369","369","368"
"Carroll County","280","280","280","279","276","276","275","275","277","277","277","275"
"Chickasaw County","300","300","300","300","299","300","299","300","299","299","299","299"
"George County","280","279","279","279","279","278","279","279","278","278","278","278"
"Holmes County","280","280","280","280","280","280","274","280","280","279","279","280"
"Issaquena County","274","274","274","274","274","273","274","274","273","273","273","274"
"Jefferson County","280","281","281","281","280","279","277","277","277","276","276","277"
"Kemper County","355","354","354","354","354","354","354","355","354","354","354","355"
"Leake County","280","279","279","279","278","278","276","277","277","277","277","277"
"Marion County","280","279","279","279","280","280","280","280","280","280","280","279"
"Stone County","280","280","280","280","280","280","280","280","280","280","280","279"
"Washington County","300","293","293","293","293","289","289","289","287","287","287","287"
"Winston County","280","269","267","267","269","275","279","275","276","276","275","274"
"Yazoo County","300","299","299","299","299","299","301","300","297","297","297","296"
"PRIVATE PRISONS","5000","4333","4332","4332","4325","4318","4329","4339","4343","4342","4339","4342"
"East Mississippi","1,500","1,199","1,199","1,199","1,198","1,198","1,197","1,198","1,199","1,198","1,198","1,199"
"Marshall County","1,000","996","996","996","994","993","993","998","1,000","1000","1000","1000"
"Walnut Grove","1,500","1,278","1,277","1,277","1,274","1,267","1,279","1,285","1,286","1,286","1,283","1,288"
"Wilkinson County","1,000","860","860","860","859","860","860","858","858","858","858","855"
"RESTITUTION CENTERS","16","11","11","8","11","11","11","11","10","10","10","11"
"Greenwood","6","3","3","3","3","3","3","3","2","2","2","3"
"Hinds","6","6","6","3","6","6","6","6","6","6","6","6"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","2"
"TOTALS","24,959","21,351","21,341","21,333","21,341","21,238","21,221","21,225","21,205","21,193","21,184","21,199"
