"Location","Capacity","1-Feb-18","2-Feb-18","3-Feb-18","4-Feb-18","5-Feb-18","6-Feb-18","7-Feb-18","8-Feb-18","9-Feb-18","10-Feb-18","11-Feb-18","12-Feb-18","13-Feb-18","14-Feb-18","15-Feb-18","16-Feb-18","17-Feb-18"
"Mississippi State Penitentiary","3,590","3,368","3,360","3,358","3,358","3,371","3,372","3,379","3,377","3,370","3,370","3,369","3,373","3,363","3,370","3,380","3,395","3,394"
"Central Mississippi Correctional Facility","3,830","3,354","3,337","3,334","3,337","3,328","3,329","3,317","3,315","3,321","3,321","3,320","3,369","3,363","3,361","3,363","3,339","3,339"
"Youthful Offender Unit","58","26","26","26","26","26","26","26","26","26","26","26","25","25","25","24","24","24"
"CMCF TVC","0","21","21","21","21","21","21","21","21","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,658","2,648","2,647","2,647","2,657","2,655","2,663","2,664","2,668","2,665","2,665","2,659","2,672","2,667","2,665","2,667","2,666"
"County Jails","1,781","1,181","1,170","1,170","1,170","1,168","1,168","1,178","1,194","1,230","1,230","1,230","1,249","1,244","1,266","1,272","1,276","1,276"
"COMMUNITY WORK CENTERS","1,188","763","777","776","775","785","773","770","772","778","777","776","783","774","770","769","771","771"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","60","57","57","57","59","59","58","58","62","62","61","62","61","61","61","59","59"
"George Satellite Facility","102","64","65","65","65","64","65","65","65","64","64","64","64","60","60","62","61","61"
"Harrison Satellite Facility","102","52","51","51","51","51","49","49","49","48","48","48","47","51","49","50","49","49"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","20","20","20","19","19","16","16","16","16","16","16","15","12","12","11","23","23"
"Leflore TVC Support","20","20","20","20","20","20","20","20","20","19","19","19","20","20","20","20","20","20"
"Madison Satellite Facility","62","60","60","60","60","61","61","62","62","62","62","62","62","62","62","62","60","60"
"Noxubee Satellite Facility","58","54","54","54","54","54","54","54","54","54","53","53","54","54","54","54","52","52"
"Pike Satellite Facility","93","79","78","78","78","78","78","78","78","80","80","80","82","80","80","80","80","80"
"Quitman Satellite Facility","93","44","43","43","43","42","42","42","42","41","41","41","42","42","40","40","40","40"
"Rankin Satellite Facility","178","139","133","133","133","138","138","137","140","142","142","142","144","145","144","144","141","141"
"Rankin RID","28","19","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22"
"Flowood TVC","50","12","15","15","15","14","13","13","13","12","12","12","12","12","12","12","15","15"
