"Location","Capacity","10-Jul-11","11-Jul-11","12-Jul-11","13-Jul-11","14-Jul-11","15-Jul-11","16-Jul-11","17-Jul-11","18-Jul-11"
"Mississippi State Penitentiary","3,356","3,085","3,092","3,099","3,106","3,095","3,090","3,088","3,087","3,101"
"Central Mississippi Correctional Facility","3,449","3,285","3,262","3,272","3,267","3,275","3,275","3,271","3,271","3,270"
"South Mississippi Correctional Institution","3,204","3,129","3,122","3,119","3,128","3,125","3,127","3,124","3,123","3,134"
"County Jails","1,629","1,795","1,791","1,807","1,823","1,826","1,817","1,817","1,817","1,801"
"COMMUNITY WORK CENTERS","1,848","1,540","1,569","1,567","1,560","1,561","1,572","1,571","1,569","1,562"
"Alcorn Satellite Facility","92","77","85","85","85","84","83","83","82","84"
"Bolivar Satellite Facility","102","82","81","80","79","79","78","78","78","71"
"Forrest Satellite Facility","96","79","83","83","83","86","91","91","91","90"
"George Satellite Facility","102","81","84","83","82","86","85","84","83","83"
"Harrison Satellite Facility","102","88","87","87","85","85","85","85","85","85"
"Jackson Satellite Facility","102","86","86","85","85","84","87","90","90","90"
"Jefferson Satellite Facility","102","77","79","79","78","77","85","85","85","83"
"Leflore Satellite Facility","102","87","89","89","88","88","88","88","88","81"
"Madison Satellite Facility","102","89","96","96","94","94","88","88","88","87"
"Noxubee Satellite Facility","92","85","89","89","92","92","90","90","90","90"
"Pike Satellite Facility","93","84","83","83","83","83","83","83","83","83"
"Quitman Satellite Facility","93","89","88","88","88","88","89","89","89","92"
"Rankin Satellite Facility","260","192","193","193","193","192","197","197","197","200"
"Simpson Satellite Facility","102","94","93","94","94","93","91","88","88","89"
"Washington Satellite Facility","102","89","93","93","92","91","89","89","89","91"
"Wilkinson Satellite Facility","102","76","73","73","72","73","74","74","74","74"
"Yazoo Satellite Facility","102","85","87","87","87","86","89","89","89","89"
"REGIONAL CORRECTIONAL FACILITIES","4,063","3,273","3,278","3,277","3,274","3,270","3,271","3,269","3,269","3,269"
"Alcorn County","300","250","249","248","246","247","246","246","246","246"
"Bolivar County","294","234","234","235","235","235","235","235","235","235"
"Carroll County","280","224","224","224","224","224","222","222","222","222"
"Chickasaw County","300","248","250","250","249","248","247","247","247","247"
"George County","280","217","220","224","224","224","224","224","224","224"
"Holmes County","280","224","224","224","224","224","224","224","224","224"
"Issaquena County","274","220","220","219","219","218","219","219","219","217"
"Jefferson County","280","225","223","222","221","223","224","224","224","224"
"Kemper County","355","285","285","285","284","285","285","285","285","283"
"Leake County","280","224","225","224","224","223","224","224","224","223"
"Marion County","280","225","224","223","223","223","224","224","224","224"
"Stone County","280","224","224","224","224","222","222","222","222","223"
"Winston County","280","224","224","224","224","223","224","223","223","223"
"Yazoo County","300","249","252","251","253","251","251","250","250","254"
"PRIVATE PRISONS","5,972","5,110","5,110","5,109","5,126","5,116","5,100","5,098","5,096","5,093"
"Delta","972","896","899","898","904","899","898","897","896","896"
"East Mississippi","1,500","1,351","1,347","1,345","1,351","1,348","1,344","1,343","1,343","1,342"
"Marshall County","1,000","998","997","997","994","991","999","999","999","998"
"Walnut Grove","1,500","978","982","981","990","991","975","975","974","972"
"Wilkinson County","1,000","887","885","888","887","887","884","884","884","885"
"RESTITUTION CENTERS","16","8","10","10","10","10","10","10","10","10"
"Greenwood","6","4","6","6","6","6","6","6","6","6"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","0","0","0","0","0","0","0","0","0"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","51","10","10","9","6","21","6","6","8"
"TOTALS","23,543","21,281","21,249","21,275","21,308","21,289","21,288","21,259","21,253","21,253"
