"Location","Capacity","1-Feb-04","2-Feb-04","3-Feb-04","4-Feb-04","5-Feb-04","6-Feb-04","7-Feb-04","8-Feb-04","9-Feb-04","10-Feb-04","11-Feb-04","12-Feb-04"
"MS STATE PENITENTIARY","5,768","5,619","5,642","5,640","5,663","5,678","5,676","5,674","5,673","5,676","5,684","5,678","5,658"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,257","3,258","3,266","3,251","3,212","3,216","3,216","3,215","3,185","3,171","3,151","3,147"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,065","2,060","2,072","2,050","2,064","2,055","2,053","2,053","2,088","2,083","2,090","2,071"
"COUNTY JAILS","2,176","1,915","1,919","1,961","1,998","2,007","1,998","1,998","1,998","2,016","2,067","2,069","2,071"
"COMMUNITY WORK CENTERS","1,816","1,477","1,524","1,519","1,532","1,528","1,495","1,495","1,495","1,536","1,531","1,544","1,585"
"Alcorn Satellite Facility","92","83","88","88","91","91","87","87","87","87","85","86","91"
"Bolivar Satellite Facility","102","87","87","85","85","85","84","84","84","85","85","85","94"
"Forrest Satellite Facility","96","92","92","92","93","94","91","91","91","96","95","95","96"
"George Satellite Facility","102","68","69","69","70","70","69","69","69","70","69","72","76"
"Harrison Satellite Facility","102","61","64","64","67","67","73","73","74","77","78","78","78"
"Jackson Satellite Facility","102","55","56","56","57","58","53","53","53","58","66","66","74"
"Jefferson Satellite Facility","102","74","79","78","78","77","71","71","71","71","70","71","77"
"Leflore Satellite Facility","102","97","97","97","97","96","101","101","101","101","100","102","102"
"Madison Satellite Facility","102","101","102","102","102","101","101","101","101","101","100","102","102"
"Noxubee Satellite Facility","92","87","89","89","92","92","89","89","89","92","91","91","91"
"Pike Satellite Facility","93","41","43","45","44","44","44","44","44","44","50","49","49"
"Quitman Satellite Facility","93","76","78","77","73","73","73","73","72","74","76","78","82"
"Rankin Satellite Facility","228","210","216","214","212","209","203","203","203","208","198","198","201"
"Simpson Satellite Facility","102","95","100","100","101","101","94","94","94","102","100","101","102"
"Washington Satellite Facility","102","94","98","98","98","98","94","94","94","97","96","98","98"
"Wilkinson Satellite Facility","102","62","68","67","70","70","69","69","69","71","71","71","71"
"Yazoo Satellite Facility","102","94","98","98","102","102","99","99","99","102","101","101","101"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,744","2,743","2,736","2,743","2,746","2,736","2,735","2,734","2,740","2,723","2,736","2,739"
"Bolivar County","250","250","250","250","250","249","250","250","250","250","250","249","249"
"Carroll County","250","250","250","250","250","250","250","250","250","249","249","249","249"
"George County (opened on May 10th)","250","250","250","247","248","249","249","249","249","249","240","249","248"
"Holmes County","250","250","250","250","250","250","249","249","249","248","246","247","250"
"Issaquena County","250","250","248","246","246","249","242","242","241","249","249","247","247"
"Jefferson County","250","248","250","250","250","249","249","249","249","249","248","249","249"
"Kemper County","250","249","249","249","250","250","248","248","248","248","248","249","249"
"Leake County","250","249","249","250","250","250","250","250","250","250","249","250","250"
"Marion County","250","248","248","245","250","250","249","248","248","248","248","250","250"
"Stone County","250","250","250","250","249","250","250","250","250","250","246","249","250"
"Winston County","250","250","249","249","250","250","250","250","250","250","250","248","248"
"PRIVATE PRISONS","3,750","3,441","3,436","3,447","3,447","3,448","3,442","3,441","3,441","3,438","3,422","3,411","3,426"
"East MS","1,000","726","726","730","729","729","731","730","730","730","727","728","728"
"Marshall County","1,000","992","993","991","991","993","991","991","991","988","986","984","986"
"Walnut Grove","750","734","733","732","734","733","729","729","729","729","721","719","718"
"Wilkinson County","1,000","989","984","994","993","993","991","991","991","991","988","980","994"
"RESITITUTION CENTERS","24","13","13","13","13","13","13","13","13","13","13","13","13"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","5","5","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","6","2","2","2","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","59","4","4","5","0","53","53","53","3","3","2","0"
"TOTALS","21,737","20,595","20,604","20,663","20,707","20,701","20,689","20,683","20,680","20,700","20,702","20,699","20,715"
