"Location","Capacity","19-Apr-13","20-Apr-13","21-Apr-13","22-Apr-13","23-Apr-13","24-Apr-13","25-Apr-13","26-Apr-13","27-Apr-13"
"Mississippi State Penitentiary","4,648","3,373","3,371","3,370","3,384","3,384","3,372","3,369","3,367","3,365"
"Central Mississippi Correctional Facility","3,557","3,332","3,328","3,331","3,343","3,363","3,369","3,357","3,370","3,368"
"Youthful Offender Unit","42","28","28","28","29","29","27","26","26","27"
"South Mississippi Correctional Institution","3,282","3,239","3,239","3,239","3,246","3,246","3,247","3,253","3,240","3,239"
"County Jails","1,872","2,350","2,350","2,350","2,327","2,307","2,312","2,307","2,321","2,322"
"COMMUNITY WORK CENTERS","1,848","1,552","1,548","1,545","1,542","1,551","1,554","1,568","1,575","1,574"
"Alcorn Satellite Facility","92","92","92","92","91","91","91","91","92","92"
"Bolivar Satellite Facility","102","73","73","73","73","73","73","74","76","76"
"Forrest Satellite Facility","96","75","75","75","74","74","74","74","80","80"
"George Satellite Facility","102","79","78","78","81","81","81","86","86","86"
"Harrison Satellite Facility","102","84","84","84","86","85","86","85","85","85"
"Jackson Satellite Facility","102","74","74","74","72","73","73","73","73","73"
"Jefferson Satellite Facility","102","78","78","78","78","78","77","77","77","77"
"Leflore Satellite Facility","102","81","81","81","81","81","80","79","80","80"
"Madison Satellite Facility","102","89","88","88","88","87","91","92","92","92"
"Noxubee Satellite Facility","92","77","77","76","76","80","80","80","78","78"
"Pike Satellite Facility","93","92","92","92","93","92","91","92","92","92"
"Quitman Satellite Facility","93","84","83","81","81","82","86","86","83","83"
"Rankin Satellite Facility","260","239","239","239","237","239","237","243","242","242"
"Simpson Satellite Facility","102","98","97","97","97","99","98","95","94","94"
"Washington Satellite Facility","102","81","81","81","79","82","82","82","82","82"
"Wilkinson Satellite Facility","102","70","70","70","69","68","68","71","75","75"
"Yazoo Satellite Facility","102","86","86","86","86","86","86","88","88","87"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,425","4,420","4,417","4,420","4,425","4,425","4,432","4,427","4,424"
"Alcorn County","300","296","296","296","296","296","296","299","299","299"
"Bolivar County","369","370","369","369","369","369","369","369","366","366"
"Carroll County","280","280","280","280","280","280","280","280","279","279"
"Chickasaw County","300","300","300","299","299","299","298","300","300","299"
"George County","280","279","279","279","280","279","279","280","279","279"
"Holmes County","280","279","278","278","280","280","280","280","279","279"
"Issaquena County","274","274","274","274","274","274","274","274","274","274"
"Jefferson County","280","280","280","280","279","279","280","280","280","280"
"Kemper County","355","354","353","353","352","355","355","353","353","353"
"Leake County","280","279","279","279","278","279","281","280","280","280"
"Marion County","280","277","277","276","280","280","280","280","281","280"
"Stone County","280","279","279","279","279","280","280","280","279","278"
"Washington County","300","297","297","296","296","296","295","298","298","298"
"Winston County","280","281","280","280","279","279","278","279","280","280"
"Yazoo County","300","300","299","299","299","300","300","300","300","300"
"PRIVATE PRISONS","5,972","4,317","4,314","4,311","4,310","4,309","4,308","4,306","4,280","4,280"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,123","1,123","1,122","1,123","1,123","1,125","1,123","1,124","1,124"
"Marshall County","1,000","999","999","998","997","997","996","995","999","999"
"Walnut Grove","1,500","1,300","1,300","1,300","1,299","1,298","1,298","1,298","1,269","1,269"
"Wilkinson County","1,000","895","892","891","891","891","889","890","888","888"
"RESTITUTION CENTERS","16","30","20","30","24","25","26","19","23","23"
"Greenwood","6","3","3","3","3","4","4","3","3","3"
"Hinds","6","4","4","4","4","4","4","4","6","6"
"Pascagoula","4","4","4","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","19","9","20","14","14","15","9","11","11"
"TOTALS","25,681","22,646","22,618","22,621","22,625","22,639","22,640","22,637","22,629","22,622"
