"Location","Capacity","1-Nov-19","2-Nov-19","3-Nov-19","4-Nov-19","5-Nov-19","6-Nov-19","7-Nov-19","8-Nov-19","9-Nov-19","10-Nov-19","11-Nov-19","12-Nov-19","13-Nov-19","14-Nov-19","15-Nov-19","16-Nov-19","17-Nov-19"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","72","72","72","73","73","72","72","70","70","70","72","72","73","72","72","72","72"
"Noxubee Satellite Facility","58","50","46","46","47","47","46","46","45","45","45","46","46","47","49","49","49","49"
"Pike Satellite Facility","93","77","77","77","74","76","76","76","74","73","73","75","74","69","72","68","68","68"
"Quitman Satellite Facility","93","66","66","63","73","72","72","71","69","69","69","70","69","69","69","70","70","69"
"Rankin Satellite Facility","178","135","134","134","139","144","144","144","141","141","141","144","143","142","142","142","141","141"
"Rankin RID","28","16","16","16","16","21","21","21","21","21","21","21","20","20","20","20","20","20"
"Flowood TVC","50","31","31","30","30","28","28","26","26","26","25","25","24","24","23","24","24","24"
"Simpson TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","57","57","56","57","57","56","56","55","55","55","55","55","55","53","52","52","52"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,317","4,318","4,312","4,317","4,310","4,318","4,321","4,314","4,311","4,311","4,306","4,298","4,283","4,291","4,281","4,281","4,280"
"Alcorn County","300","300","300","300","300","299","299","299","298","297","297","297","297","297","299","298","298","298"
"Bolivar County","369","294","294","294","292","292","292","291","291","291","291","291","291","291","290","290","290","290"
"Carroll County","280","278","278","278","278","278","277","277","277","277","277","277","275","275","274","273","273","272"
"Chickasaw County","310","309","309","309","309","309","310","309","309","308","308","308","308","310","310","310","310","310"
"George County","342","340","340","338","338","337","337","336","334","335","335","335","334","332","331","329","329","330"
"Holmes County","280","278","278","278","278","278","278","278","277","277","277","275","278","276","276","275","275","275"
"Issaquena County","297","317","317","315","325","322","318","317","317","317","317","316","315","314","314","313","313","313"
"Jefferson County","280","275","275","274","273","273","279","279","280","280","280","280","278","278","279","279","279","279"
"Kemper County","355","348","348","348","347","346","350","352","353","353","353","353","348","341","341","342","342","341"
"Leake County","280","275","275","275","275","275","280","280","276","276","276","275","273","272","276","276","276","276"
"Marion County","280","277","277","277","277","277","276","277","277","277","277","277","278","279","280","279","279","279"
"Stone County","326","280","280","280","280","280","279","279","280","280","280","279","279","279","281","280","280","280"
"Washington County","300","167","168","168","168","168","167","167","167","167","167","167","167","163","163","162","162","162"
"Winston County","280","279","279","278","278","277","278","280","279","279","279","279","278","278","279","277","277","277"
"Yazoo County","300","300","300","300","299","299","298","300","299","297","297","297","299","298","298","298","298","298"
"PRIVATE PRISONS","5,472","3,184","3,184","3,183","3,177","3,176","3,171","3,169","3,165","3,161","3,161","3,160","3,162","3,166","3,179","3,181","3,181","3,181"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,251","1,251","1,250","1,246","1,245","1,239","1,239","1,236","1,233","1,233","1,232","1,232","1,237","1,237","1,241","1,241","1,241"
"Marshall County","1,000","999","999","999","998","998","998","996","996","996","996","996","995","994","1,000","1,000","1,000","1,000"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","934","934","934","933","933","934","934","933","932","932","932","935","935","942","940","940","940"
"RESTITUTION CENTERS","10","6","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","122","25","25","25","23","22","25","25","25","25","0","25","27","27","28","28","28","28"
"Madison","40","12","12","12","12","12","5","3","3","3","3","3","3","3","3","3","3","3"
"Noxubee","34","9","9","9","7","7","17","19","19","19","19","19","19","19","20","20","20","20"
"Rankin/Flowood","8","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","1","1","1","1","0","0","0","0","0","0","0","1","1","1","1","1","1"
"TOTALS","24,142","19,278","19,272","19,254","19,279","19,276","19,239","19,243","19,252","19,235","19,206","19,223","19,192","19,179","19,186","19,164","19,165","19,157"
