"Location","Capacity","10-Sep-10","11-Sep-10","12-Sep-10","13-Sep-10","14-Sep-10","15-Sep-10","16-Sep-10","17-Sep-10","18-Sep-10"
"Mississippi State Penitentiary","4,435","3,457","3,455","3,452","3,456","3,425","3,428","3,416","3,388","3,385"
"Central Mississippi Correctional Facility","3,449","3,134","3,131","3,133","3,124","3,145","3,152","3,132","3,099","3,098"
"South Mississippi Correctional Institution","3,204","3,162","3,159","3,158","3,176","3,174","3,174","3,167","3,167","3,168"
"County Jails","1,483","1,736","1,736","1,736","1,742","1,725","1,713","1,698","1,707","1,707"
"COMMUNITY WORK CENTERS","1,848","1,557","1,555","1,552","1,570","1,565","1,582","1,578","1,527","1,523"
"Alcorn Satellite Facility","92","72","72","72","74","74","74","73","73","73"
"Bolivar Satellite Facility","102","79","79","79","81","81","81","81","79","79"
"Forrest Satellite Facility","96","66","66","66","69","69","68","68","67","64"
"George Satellite Facility","102","87","87","87","87","87","93","92","89","89"
"Harrison Satellite Facility","102","71","71","71","72","71","86","86","83","83"
"Jackson Satellite Facility","102","78","78","78","79","79","79","78","76","76"
"Jefferson Satellite Facility","102","81","81","79","83","81","80","80","75","74"
"Leflore Satellite Facility","102","86","86","86","85","86","86","86","81","81"
"Madison Satellite Facility","102","99","99","99","94","93","93","96","95","95"
"Noxubee Satellite Facility","92","80","80","80","84","84","84","90","84","84"
"Pike Satellite Facility","93","91","91","91","91","91","90","87","86","86"
"Quitman Satellite Facility","93","81","81","81","81","81","80","79","78","78"
"Rankin Satellite Facility","260","231","230","229","230","230","231","230","225","225"
"Simpson Satellite Facility","102","95","95","95","98","98","98","96","90","90"
"Washington Satellite Facility","102","86","86","86","86","86","85","83","77","77"
"Wilkinson Satellite Facility","102","76","75","75","77","76","76","74","71","71"
"Yazoo Satellite Facility","102","98","98","98","99","98","98","99","98","98"
"REGIONAL CORRECTIONAL FACILITIES","3,463","2,529","2,528","2,526","2,530","2,576","2,577","2,619","2,686","2,686"
"Bolivar County","294","235","235","235","235","236","236","235","235","235"
"Carroll County","280","224","224","224","224","224","224","224","223","223"
"Chickasaw County","300","0","0","0","0","45","45","90","90","90"
"George County","280","224","224","224","224","224","224","223","225","225"
"Holmes County","280","224","224","224","224","224","224","224","223","223"
"Issaquena County","274","219","219","219","220","220","219","219","219","219"
"Jefferson County","280","224","224","224","224","224","224","224","224","224"
"Kemper County","355","283","283","282","283","282","285","285","285","285"
"Leake County","280","226","226","226","226","225","225","225","225","225"
"Marion County","280","224","224","224","224","224","224","224","224","224"
"Stone County","280","224","223","222","223","223","222","222","223","223"
"Winston County","280","222","222","222","223","225","225","224","220","220"
"Yazoo County","300","0","0","0","0","0","0","0","70","70"
"PRIVATE PRISONS","5,972","5,346","5,342","5,337","5,346","5,353","5,345","5,331","5,327","5,326"
"Delta","972","902","901","900","904","904","903","903","902","902"
"East Mississippi","1,500","1,360","1,358","1,355","1,355","1,354","1,350","1,361","1,361","1,361"
"Marshall County","1,000","945","945","945","943","943","941","916","913","913"
"Walnut Grove","1,500","1,192","1,191","1,191","1,195","1,202","1,202","1,200","1,197","1,196"
"Wilkinson County","1,000","947","947","946","949","950","949","951","954","954"
"RESTITUTION CENTERS","16","8","8","8","9","9","9","9","9","9"
"Greenwood","6","2","2","2","3","3","3","3","3","3"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","43","43","8","9","9","11","12","54","54"
"TOTALS","23,876","20,978","20,963","20,916","20,968","20,987","20,997","20,968","20,970","20,962"
