"Location","Capacity","1-Sep-16","2-Sep-16","3-Sep-16","4-Sep-16","5-Sep-16","6-Sep-16","7-Sep-16","8-Sep-16","9-Sep-16","10-Sep-16"
"Mississippi State Penitentiary","3,590","3,363","3,372","3,370","3,368","3,368","3,356","3,357","3,360","3,356","3,354"
"Central Mississippi Correctional Facility","3,818","3,541","3,507","3,508","3,508","3,506","3,519","3,528","3,451","3,398","3,396"
"Youthful Offender Unit","58","34","34","33","33","33","33","33","35","35","35"
"CMCF TVC","","8","18","18","18","18","17","17","17","21","20"
"South Mississippi Correctional Institution","3,082","2,965","2,980","2,979","2,977","2,976","2,966","2,962","2,960","2,969","2,972"
"County Jails","1,781","1,417","1,433","1,433","1,433","1,435","1,445","1,430","1,431","1,445","1,445"
"COMMUNITY WORK CENTERS","1,348","1,007","1,008","1,005","1,004","1,002","1,005","1,002","989","1,009","1,007"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","68","67","67","67","67","66","66","66","71","71"
"George Satellite Facility","102","82","83","83","83","83","81","83","83","82","82"
"Harrison Satellite Facility","102","59","59","59","59","59","59","62","64","64","64"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","56","54","53","53","52","61","61","59","61","63"
"Leflore TVC Support","20","18","20","20","20","20","19","20","17","18","18"
"Madison Satellite Facility","102","67","66","66","66","66","66","65","62","66","66"
"Noxubee Satellite Facility","92","82","85","85","85","85","82","82","82","84","84"
"Pike Satellite Facility","93","89","88","88","88","88","88","88","87","87","87"
"Quitman Satellite Facility","93","74","74","74","74","74","72","72","72","71","71"
"Rankin Satellite Facility","182","158","157","157","157","156","158","159","158","156","156"
"Rankin RID","28","8","8","8","8","8","8","7","7","7","7"
"Flowood TVC","50","23","23","22","21","21","21","20","18","18","18"
"Simpson TVC","82","65","64","63","63","63","66","62","61","69","68"
"Simpson TVC Support","20","13","13","13","13","13","13","12","12","12","12"
"Washington Satellite Facility","102","79","78","78","78","78","78","76","74","76","74"
"Wilkinson Satellite Facility","102","66","69","69","69","69","67","67","67","67","66"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,696","3,693","3,691","3,689","3,688","3,666","3,708","3,816","3,860","3,858"
"Alcorn County","300","240","240","239","239","239","236","236","249","264","263"
"Bolivar County","369","294","293","293","293","293","291","291","293","292","292"
"Carroll County","280","240","240","240","240","240","239","238","236","236","236"
"Chickasaw County","300","240","240","239","239","239","238","248","257","267","267"
"George County","280","239","240","240","240","240","237","237","248","253","253"
"Holmes County","280","239","239","239","239","239","240","237","251","258","258"
"Issaquena County","274","270","270","270","270","270","267","264","269","269","269"
"Jefferson County","280","269","269","269","269","269","266","266","268","261","261"
"Kemper County","355","260","260","260","259","258","255","263","277","280","280"
"Leake County","280","200","199","199","199","199","198","199","198","198","197"
"Marion County","280","241","241","241","241","241","241","260","272","269","269"
"Stone County","280","270","269","269","268","268","267","269","271","271","271"
"Washington County","300","215","215","215","215","215","214","211","216","216","216"
"Winston County","280","238","239","239","239","239","239","248","259","266","266"
"Yazoo County","300","241","239","239","239","239","238","241","252","260","260"
"PRIVATE PRISONS","5,972","3,306","3,305","3,305","3,305","3,304","3,282","3,245","3,211","3,168","3,167"
"Delta","972","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,151","1,150","1,150","1,150","1,150","1,147","1,145","1,151","1,152","1,152"
"Marshall County","1,000","997","998","998","998","998","996","994","998","994","994"
"Walnut Grove","1,500","258","258","258","258","258","250","218","164","125","125"
"Wilkinson County","1,000","900","899","899","899","898","889","888","898","897","896"
"RESTITUTION CENTERS","16","11","9","9","9","9","9","9","11","9","11"
"Greenwood","6","5","5","5","5","5","5","5","5","5","5"
"Hinds","6","4","2","2","2","2","2","2","4","2","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2"
"TOTALS","24,103","19,348","19,359","19,351","19,344","19,339","19,298","19,291","19,281","19,270","19,265"
