"Location","Capacity","27-Oct-05","28-Oct-05","29-Oct-05","30-Oct-05","31-Oct-05"
"Mississippi State Penitentiary","4,730","4,348","4,354","4,347","4,345","4,338"
"Central Mississippi Correctional Facility","3,219","3,136","3,129","3,126","3,125","3,135"
"South Mississippi Correctional Institution","2,306","2,268","2,212","2,211","2,208","2,202"
"County Jails","2,240","1,644","1,666","1,666","1,666","1,680"
"COMMUNITY WORK CENTERS","1,816","1,662","1,606","1,604","1,604","1,664"
"Alcorn Satellite Facility","92","90","88","88","88","90"
"Bolivar Satellite Facility","102","96","91","91","91","95"
"Forrest Satellite Facility","96","93","88","88","88","94"
"George Satellite Facility","102","94","93","93","93","94"
"Harrison Satellite Facility","102","92","89","88","88","91"
"Jackson Satellite Facility","102","81","76","75","75","79"
"Jefferson Satellite Facility","102","75","72","72","72","75"
"Leflore Satellite Facility","102","102","95","95","95","101"
"Madison Satellite Facility","102","101","102","102","102","102"
"Noxubee Satellite Facility","92","89","87","87","87","88"
"Pike Satellite Facility","93","71","69","69","69","77"
"Quitman Satellite Facility","93","84","82","82","82","84"
"Rankin Satellite Facility","228","223","218","218","218","223"
"Simpson Satellite Facility","102","100","97","97","97","100"
"Washington Satellite Facility","102","96","89","89","89","97"
"Wilkinson Satellite Facility","102","81","80","80","80","81"
"Yazoo Satellite Facility","102","94","90","90","90","93"
"REGIONAL CORRECTIONAL FACILITIES","3,028","3,005","3,018","3,018","3,015","3,023"
"Bolivar County","294","294","294","294","293","293"
"Carroll County","250","250","250","250","250","250"
"George County","280","273","273","273","273","280"
"Holmes County","280","280","280","280","280","280"
"Issaquena County","274","273","272","272","272","273"
"Jefferson County","250","250","250","250","250","249"
"Kemper County","280","280","280","280","279","279"
"Leake County","280","280","280","280","280","280"
"Marion County","280","279","280","280","280","280"
"Stone County","280","279","280","280","279","279"
"Winston County","280","267","279","279","279","280"
"PRIVATE PRISONS","5,100","4,854","4,847","4,841","4,837","4,842"
"Delta","972","971","970","968","967","972"
"East Mississippi","1,000","861","861","860","860","858"
"Marshall County","1,000","994","993","991","989","995"
"Tallahatchie County","128","128","128","128","128","128"
"Walnut Grove","1,000","921","922","921","921","918"
"Wilkinson County","1,000","979","973","973","972","971"
"RESTITUTION CENTERS","16","11","10","10","10","10"
"Greenwood","6","4","4","4","4","4"
"Hinds","6","5","5","5","5","5"
"Pascagoula","4","2","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5"
"E-CODE","","6","61","63","62","5"
"TOTALS","22,461","20,939","20,908","20,891","20,877","20,904"
