"Location","Capacity","21-Aug-01","22-Aug-01","23-Aug-01","24-Aug-01","25-Aug-01","26-Aug-01","27-Aug-01","28-Aug-01","29-Aug-01","30-Aug-01","31-Aug-01"
"MS STATE PENITENTIARY","5,612","5,221","5,211","5,202","5,215","5,212","5,207","5,204","5,201","5,222","5,219","5,218"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,950","2,962","2,984","2,985","2,987","2,985","3,003","2,983","2,997","2,995","3,008"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","1,987","1,980","1,982","1,973","1,974","1,973","1,967","1,991","1,988","1,999","1,989"
"COUNTY JAILS","2,122","1,544","1,546","1,553","1,543","1,547","1,550","1,550","1,555","1,536","1,540","1,549"
"COMMUNITY WORK CENTERS","1,320","1,238","1,239","1,242","1,218","1,217","1,217","1,234","1,240","1,241","1,228","1,228"
"Alcorn Satellite Facility","75","74","74","74","72","72","72","72","72","73","73","73"
"Bolivar Satellite Facility","75","68","68","74","73","72","72","74","74","74","72","72"
"Forrest Satellite Facility","75","75","75","75","74","74","74","74","75","75","74","74"
"George Satellite Facility","75","73","75","74","74","73","73","72","75","75","75","75"
"Harrison Satellite Facility","75","75","74","74","71","71","71","73","75","73","71","71"
"Jackson Satellite Facility","75","75","75","75","74","75","75","75","74","74","74","74"
"Jefferson Satellite Facility","75","74","73","73","69","69","69","73","72","74","74","74"
"Leflore Satellite Facility","75","75","75","75","73","73","73","75","75","75","75","75"
"Madison Satellite Facility","75","72","74","74","74","74","74","74","74","74","72","74"
"Noxubee Satellite Facility","75","73","73","73","75","75","75","75","75","75","75","75"
"Pike Satellite Facility","75","56","54","54","54","54","54","54","51","51","49","48"
"Quitman Satellite Facility","75","46","45","45","43","43","43","44","44","44","43","43"
"Rankin Satellite Facility","120","109","113","112","111","111","111","111","110","110","110","110"
"Simpson Satellite Facility","75","73","72","72","72","72","72","72","73","73","72","71"
"Washington Satellite Facility","75","73","73","73","69","69","69","74","74","74","74","74"
"Wilikinson Satellite Facility","75","75","75","74","72","72","72","74","75","75","75","75"
"Yazoo Satellite Facility","75","72","71","71","68","68","68","68","72","72","70","70"
"REGIONAL CORRECTIONAL FACILITIES","2,500","2,022","2,023","2,019","2,037","2,038","2,037","2,033","2,033","2,032","2,026","2,038"
"Bolivar County","250","208","208","207","206","206","206","206","209","210","210","210"
"Carroll County","250","198","198","198","198","198","197","197","198","197","196","196"
"Holmes County","250","194","194","192","197","197","197","197","197","197","197","200"
"Issaquena County","250","198","200","200","200","200","200","198","198","198","196","198"
"Jefferson County","250","211","211","211","213","213","213","213","213","213","211","211"
"Kemper County","250","221","221","220","225","226","226","225","225","225","224","222"
"Leake County","250","200","200","200","200","200","200","199","199","198","198","199"
"Marion County","250","197","196","196","200","200","200","200","193","193","193","200"
"Stone County","250","198","198","198","201","201","201","201","201","201","201","202"
"Winston County","250","197","197","197","197","197","197","197","200","200","200","200"
"PRIVATE PRISONS","3,900","3,497","3,500","3,496","3,494","3,493","3,492","3,493","3,503","3,503","3,506","3,493"
"Delta","1,000","839","837","837","835","835","834","841","842","842","842","833"
"East MS","500","496","498","498","498","498","498","498","499","499","499","497"
"Marshall County","1,000","872","871","863","864","863","863","859","870","871","866","865"
"Walnut Grove","500","401","405","405","404","404","404","403","399","400","409","408"
"Wilkinson County","900","889","889","893","893","893","893","892","893","891","890","890"
"RESITITUTION CENTERS","24","18","18","18","18","18","18","16","15","15","15","15"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","11","11","11","11","11","11","9","8","8","8","8"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","20,747","18,483","18,485","18,502","18,489","18,492","18,485","18,506","18,527","18,540","18,534","18,544"
