"Location","Capacity","1-Oct-15","2-Oct-15","3-Oct-15","4-Oct-15","5-Oct-15","6-Oct-15","7-Oct-15","8-Oct-15","9-Oct-15"
"Mississippi State Penitentiary","3,590","3,148","3,147","3,147","3,145","3,145","3,145","3,145","3,145","3,145"
"MSP TVC","","75","74","74","69","70","70","70","70","70"
"Central Mississippi Correctional Facility","2,932","2,603","2,602","2,602","2,601","2,588","2,588","2,588","2,588","2,588"
"Youthful Offender Unit","58","28","27","27","28","28","28","28","28","28"
"CMCF TVC","","137","136","136","132","140","140","140","140","140"
"South Mississippi Correctional Institution 2,882","","2,706","2,705","2,705","2,713","2,701","2,701","2,701","2,701","2,701"
"SMCI TVC","","97","96","96","94","95","95","95","95","95"
"County Jails","2,002","1,243","1,252","1,253","1,253","1,254","1,254","1,254","1,254","1,254"
"COMMUNITY WORK CENTERS","1,870","1,152","1,138","1,138","1,135","1,148","1,149","1,149","1,149","1,149"
"Alcorn Satellite Facility","92","87","86","86","87","88","88","88","88","88"
"Bolivar Satellite Facility","102","72","71","71","70","71","71","71","71","71"
"Forrest Satellite Facility","96","52","51","51","52","53","53","53","53","53"
"George Satellite Facility","102","50","50","50","50","51","51","51","51","51"
"Harrison Satellite Facility","102","45","44","44","45","46","46","46","46","46"
"Jackson Satellite Facility","102","52","51","51","49","50","50","50","50","50"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","72","71","71","72","73","73","73","73","73"
"Madison Satellite Facility","102","57","56","56","62","63","63","63","63","63"
"Noxubee Satellite Facility","92","72","71","71","67","68","68","68","68","68"
"Pike Satellite Facility","93","80","79","79","80","81","81","81","81","81"
"Quitman Satellite Facility","93","57","56","56","56","57","57","57","57","57"
"Rankin Satellite Facility","260","172","172","172","169","169","169","169","169","169"
"Simpson Satellite Facility","102","97","96","96","95","96","96","96","96","96"
"Washington Satellite Facility","102","71","70","70","70","71","71","71","71","71"
"Wilkinson Satellite Facility","102","50","49","49","49","49","49","49","49","49"
"Yazoo Satellite Facility","102","66","65","65","62","62","63","63","63","63"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,963","3,959","3,950","3,940","3,941","3,951","3,950","3,948","3,944"
"Alcorn County","300","285","284","283","284","284","285","285","285","285"
"Bolivar County","369","318","317","316","317","317","318","318","318","318"
"Carroll County","280","233","232","231","232","232","233","233","233","233"
"Chickasaw County","300","291","290","289","291","291","292","292","292","292"
"George County","280","242","242","241","240","240","241","241","241","241"
"Holmes County","280","267","267","266","261","261","262","262","262","262"
"Issaquena County","274","259","259","258","259","259","260","260","260","260"
"Jefferson County","280","248","248","247","247","247","248","248","248","248"
"Kemper County","355","324","324","323","322","322","323","323","323","323"
"Leake County","280","247","247","247","248","248","249","249","249","249"
"Marion County","280","254","254","254","253","253","253","253","253","252"
"Stone County","280","277","277","277","276","276","276","275","275","274"
"Washington County","300","200","200","200","197","197","197","197","197","197"
"Winston County","280","259","259","259","255","256","256","256","255","254"
"Yazoo County","300","259","259","259","258","258","258","258","257","256"
"PRIVATE PRISONS","5,972","3,809","3,809","3,809","3,806","3,806","3,806","3,806","3,799","3,797"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,118","1,118","1,118","1,117","1,117","1,117","1,117","1,116","1,115"
"Marshall County","1,000","999","999","999","997","997","997","997","995","994"
"Walnut Grove","1,500","856","856","856","857","857","857","857","855","855"
"Wilkinson County","1,000","836","836","836","835","835","835","835","833","833"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","12","8","8"
"Greenwood","6","5","5","5","5","5","5","5","4","4"
"Hinds","6","6","6","6","6","6","6","6","4","4"
"Pascagoula","4","1","1","1","1","1","1","1","0","0"
"TOTALS","23,744","18,973","18,957","18,949","18,928","18,928","18,939","18,938","18,925","18,919"
