"Location","Capacity","1-Mar-17","2-Mar-17","3-Mar-17","4-Mar-17","5-Mar-17","6-Mar-17","7-Mar-17","8-Mar-17","9-Mar-17","10-Mar-17"
"Mississippi State Penitentiary","3590","3330","3328","3339","3335","3335","3331","3351","3355","3356","3360"
"Central Mississippi Correctional Facility","3,882","3,458","3,429","3,392","3,395","3,396","3,385","3,367","3,375","3,403","3,404"
"Youthful Offender Unit","58","28","29","28","28","28","29","29","30","30","30"
"CMCF TVC","","26","24","23","23","23","23","23","23","23","14"
"South Mississippi Correctional Institution","3,082","3,068","3,071","3,067","3,067","3,066","3,063","3,070","3,069","3,065","3,067"
"County Jails","1,781","1,382","1,411","1,409","1,409","1,409","1,434","1,419","1,415","1,379","1,353"
"COMMUNITY WORK CENTERS","1,348","961","971","964","964","962","989","986","981","1,020","1,016"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","56","63","62","62","62","63","63","63","71","71"
"George Satellite Facility","102","65","75","73","73","73","76","76","76","85","80"
"Harrison Satellite Facility","102","67","65","62","62","62","64","64","65","70","72"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","62","61","66","66","65","63","63","59","58","63"
"Leflore TVC Support","20","7","7","9","9","9","9","9","9","9","10"
"Madison Satellite Facility","102","72","71","70","70","70","81","82","82","88","86"
"Noxubee Satellite Facility","92","89","88","84","84","84","88","90","90","90","85"
"Pike Satellite Facility","93","79","78","76","76","76","76","76","75","75","78"
"Quitman Satellite Facility","93","64","63","63","63","62","63","63","64","65","60"
"Rankin Satellite Facility","182","162","160","157","157","157","163","163","165","163","159"
"Rankin RID","28","2","2","2","2","2","3","3","5","5","5"
"Flowood TVC","50","21","19","24","24","24","24","22","21","21","22"
"Simpson TVC","82","67","67","69","69","69","66","62","59","57","65"
"Simpson TVC Support","20","12","12","12","12","12","12","12","12","12","12"
"Washington Satellite Facility","102","71","76","73","73","73","74","74","72","82","80"
"Wilkinson Satellite Facility","102","65","64","62","62","62","64","64","64","69","68"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,819","3,799","3,796","3,796","3,793","3,793","3,810","3,730","3,824","3,819"
"Alcorn County","300","239","239","239","239","239","237","237","236","239","238"
"Bolivar County","369","289","292","291","291","291","292","292","294","293","291"
"Carroll County","280","261","261","263","263","263","261","261","264","264","264"
"Chickasaw County","310","286","288","288","288","287","287","287","288","287","287"
"George County","280","220","219","223","223","223","219","221","222","221","220"
"Holmes County","280","222","222","220","220","220","222","224","224","224","224"
"Issaquena County","274","273","273","271","271","271","271","274","273","273","273"
"Jefferson County","280","279","277","279","279","279","279","275","278","279","277"
"Kemper County","355","351","352","349","349","349","349","345","253","343","352"
"Leake County","280","199","200","200","200","199","199","200","200","201","200"
"Marion County","280","239","238","237","237","237","236","236","236","236","234"
"Stone County","326","293","290","289","289","288","287","281","281","281","281"
"Washington County","300","200","198","197","197","197","196","221","221","221","221"
"Winston County","280","227","217","215","215","215","221","220","222","223","222"
"Yazoo County","300","241","233","235","235","235","237","236","238","239","235"
"PRIVATE PRISONS","5,972","3,029","3,031","3,043","3,041","3,041","3,022","3,032","3,031","3,017","3,029"
"Delta","972","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,154","1,144","1,143","1,141","1,141","1,129","1,133","1,132","1,132","1,131"
"Marshall County","1,000","1,000","999","1,000","1,000","1,000","999","998","998","995","1,000"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","875","888","900","900","900","894","901","901","890","898"
"RESTITUTION CENTERS","16","14","14","14","14","14","14","14","14","14","14"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4"
"Hinds","6","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","4","4","4","4","4","4","4","4","4","4"
"TOTALS","24,223","19,115","19,107","19,075","19,072","19,067","19,083","19,101","19,023","19,131","19,106"
