"Location","Capacity","19-Nov-14","20-Nov-14","Capacity","21-Nov-14","22-Nov-14","23-Nov-14","24-Nov-14","25-Nov-14","26-Nov-14","27-Nov-14"
"Mississippi State Penitentiary","4,648","3,155","3,162","4,648","3,156","3,155","3,129","3,154","3,160","3,162","3,159"
"Central Mississippi Correctional Facility","3,469","2,213","2,225","3,469","2,252","2,253","2,248","2,215","2,193","2,225","2,223"
"Youthful Offender Unit","58","33","33","58","33","33","33","32","34","34","34"
"CMCF TVC","350","92","91","350","91","91","88","88","85","86","85"
"South Mississippi Correctional Institution","3,282","2,638","2,636","3,282","2,623","2,624","2,622","2,634","2,632","2,632","2,616"
"County Jails","1,973","1,517","1,494","1,985","1,503","1,503","1,503","1,532","1,551","1,496","1,512"
"COMMUNITY WORK CENTERS","1,848","1,098","1,109","1,848","1,112","1,110","1,107","1,101","1,112","1,111","1,109"
"Alcorn Satellite Facility","92","86","85","92","82","82","82","82","79","78","77"
"Bolivar Satellite Facility","102","52","52","102","53","52","52","52","52","52","52"
"Forrest Satellite Facility","96","48","58","96","57","57","57","57","57","57","57"
"George Satellite Facility","102","51","51","102","51","51","51","51","53","54","54"
"Harrison Satellite Facility","102","44","43","102","48","48","48","47","52","50","50"
"Jackson Satellite Facility","102","45","45","102","45","44","43","43","44","47","47"
"Jefferson Satellite Facility","102","43","43","102","45","45","45","45","45","47","47"
"Leflore Satellite Facility","102","51","51","102","53","53","53","53","56","54","53"
"Madison Satellite Facility","102","51","52","102","52","52","52","52","52","52","52"
"Noxubee Satellite Facility","92","67","68","92","68","68","68","68","68","68","68"
"Pike Satellite Facility","93","88","88","93","87","87","86","84","85","83","83"
"Quitman Satellite Facility","93","57","54","93","54","54","54","54","50","51","51"
"Rankin Satellite Facility","260","180","182","260","181","181","181","180","181","181","181"
"Simpson Satellite Facility","102","98","94","102","93","93","93","92","93","92","92"
"Washington Satellite Facility","102","53","54","102","54","54","54","54","54","54","54"
"Wilkinson Satellite Facility","102","42","41","102","41","41","40","40","40","40","40"
"Yazoo Satellite Facility","102","42","48","102","48","48","48","47","51","51","51"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,224","4,220","4,438","4,210","4,203","4,201","4,208","4,225","4,225","4,224"
"Alcorn County","300","298","297","300","297","297","297","297","297","300","300"
"Bolivar County","369","355","356","369","354","354","354","359","360","360","360"
"Carroll County","280","262","261","280","259","258","258","258","262","263","263"
"Chickasaw County","300","301","301","300","300","298","298","299","299","300","300"
"George County","280","262","261","280","260","259","259","258","262","262","262"
"Holmes County","280","267","267","280","267","267","267","268","268","266","266"
"Issaquena County","274","254","251","274","252","252","252","255","254","257","257"
"Jefferson County","280","255","253","280","257","257","256","259","259","259","259"
"Kemper County","355","331","330","355","329","329","329","328","331","330","330"
"Leake County","280","259","258","280","256","256","255","254","256","254","254"
"Marion County","280","278","278","280","277","276","276","275","276","276","276"
"Stone County","280","271","271","280","270","270","270","270","269","269","269"
"Washington County","300","283","283","300","282","282","282","280","280","282","282"
"Winston County","280","262","267","280","264","264","264","264","266","264","264"
"Yazoo County","300","286","286","300","286","284","284","284","286","283","282"
"PRIVATE PRISONS","5,972","4,337","4,335","5,972","4,338","4,334","4,335","4,337","4,334","4,322","4,323"
"Delta","972","0","0","972","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,184","1,181","1,500","1,181","1,179","1,180","1,181","1,181","1,177","1,177"
"Marshall County","1,000","998","999","1,000","999","999","999","1,000","1,000","999","1,000"
"Walnut Grove","1,500","1,297","1,298","1,500","1,300","1,298","1,298","1,298","1,298","1,292","1,292"
"Wilkinson County","1,000","858","857","1,000","858","858","858","858","855","854","854"
"RESTITUTION CENTERS","16","7","7","16","10","10","10","10","7","7","6"
"Greenwood","6","3","3","6","3","3","3","3","3","3","3"
"Hinds","6","3","3","6","6","6","6","6","3","3","3"
"Pascagoula","4","1","1","4","1","1","1","1","1","1","0"
"GOVERNOR'S MANSION    (CLOSED)","6","0","","6","0","","0","0","0","","0"
"E-CODE","0","","","0","0","","0","0","0","","0"
"TOTALS","25,710","19,314","19,312","25,722","19,328","19,316","19,276","19,311","19,333","19,300","19,291"
