"Location","Capacity","19-Sep-15","20-Sep-15","21-Sep-15","22-Sep-15","23-Sep-15","24-Sep-15","25-Sep-15","26-Sep-15","27-Sep-15"
"Mississippi State Penitentiary","4,648","3,109","3,109","3,136","3,136","3,136","3,136","3,136","3,136","3,136"
"MSP TVC","108","90","90","86","86","86","86","86","86","86"
"Central Mississippi Correctional Facility","3,469","2,555","2,555","2,594","2,594","2,594","2,594","2,594","2,594","2,594"
"Youthful Offender Unit","58","28","28","27","27","27","27","27","27","27"
"CMCF TVC","158","129","129","124","124","124","124","124","124","124"
"South Mississippi Correctional Institution","3,282","2,659","2,659","2,667","2,667","2,667","2,667","2,667","2,667","2,667"
"SMCI TVC","0","95","95","97","97","97","97","97","97","97"
"County Jails","2,006","1,180","1,179","1,239","1,239","1,242","1,228","1,214","1,214","1,214"
"COMMUNITY WORK CENTERS","1,848","1,176","1,170","1,148","1,148","1,153","1,148","1,148","1,148","1,148"
"Alcorn Satellite Facility","92","91","90","90","90","90","90","90","90","90"
"Bolivar Satellite Facility","102","73","72","65","65","65","65","65","65","65"
"Forrest Satellite Facility","96","51","50","50","50","50","50","50","50","50"
"George Satellite Facility","102","48","47","46","46","46","46","46","46","46"
"Harrison Satellite Facility","102","51","50","48","48","48","48","48","48","48"
"Jackson Satellite Facility","102","50","49","56","56","56","56","56","56","56"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","78","78","73","73","73","73","73","73","73"
"Madison Satellite Facility","102","60","60","62","62","62","62","62","62","62"
"Noxubee Satellite Facility","92","68","68","66","66","66","66","66","66","66"
"Pike Satellite Facility","93","80","80","71","71","72","72","72","72","72"
"Quitman Satellite Facility","93","63","63","60","60","61","60","60","60","60"
"Rankin Satellite Facility","260","180","180","180","180","180","180","180","180","180"
"Simpson Satellite Facility","102","93","93","96","96","97","96","96","96","96"
"Washington Satellite Facility","102","74","74","71","71","72","71","71","71","71"
"Wilkinson Satellite Facility","102","51","51","49","49","50","49","49","49","49"
"Yazoo Satellite Facility","102","65","65","65","65","65","64","64","64","64"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,113","4,113","4,068","4,068","4,068","4,059","4,064","4,057","4,057"
"Alcorn County","300","289","289","290","290","290","289","290","290","290"
"Bolivar County","369","339","339","338","338","338","337","338","338","338"
"Carroll County","280","244","244","242","242","242","241","242","242","242"
"Chickasaw County","300","298","298","297","297","297","296","297","297","297"
"George County","280","267","267","253","253","253","252","253","253","253"
"Holmes County","280","273","273","270","270","270","269","269","269","269"
"Issaquena County","274","261","261","263","263","263","262","262","262","262"
"Jefferson County","280","253","253","248","248","248","247","247","247","247"
"Kemper County","355","336","336","337","337","337","336","336","334","334"
"Leake County","280","260","260","254","254","254","254","254","253","253"
"Marion County","280","264","264","258","258","258","258","258","257","257"
"Stone County","280","278","278","278","278","278","278","278","277","277"
"Washington County","300","212","212","208","208","208","208","208","208","208"
"Winston County","280","271","271","265","265","265","265","265","264","264"
"Yazoo County","300","268","268","267","267","267","267","267","266","266"
"PRIVATE PRISONS","5,972","3,746","3,746","3,748","3,748","3,748","3,748","3,748","3,744","3,740"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,121","1,121","1,115","1,115","1,115","1,115","1,115","1,114","1,113"
"Marshall County","1,000","997","997","995","995","995","995","995","994","993"
"Walnut Grove","1,500","800","800","815","815","815","815","815","814","813"
"Wilkinson County","1,000","828","828","823","823","823","823","823","822","821"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","12","11","9"
"Greenwood","6","6","6","5","5","5","5","5","4","4"
"Hinds","6","6","6","6","6","6","6","6","6","5"
"Pascagoula","4","0","0","1","1","1","1","1","1","0"
"TOTALS","25,737","18,892","18,885","18,946","18,946","18,954","18,926","18,917","18,905","18,899"
