"Location","Capacity","18-Jun-20","19-Jun-20","20-Jun-20","21-Jun-20","22-Jun-20","23-Jun-20","24-Jun-20","25-Jun-20","26-Jun-20","27-Jun-20","28-Jun-20","29-Jun-20","30-Jun-20","Avg Population"
"Mississippi State Penitentiary","2,678","2,005","2,064","2,063","2,061","2,056","2,050","2,043","2,043","2,030","2,030","2,030","2,029","2,030","2,019"
"Central Mississippi Correctional Facility","4,178","3,106","3,080","3,080","3,081","3,125","3,175","3,183","3,183","3,187","3,183","3,183","3,125","3,104","3167"
"Youthful Offender Unit","58","16","19","19","19","19","19","18","18","18","18","18","18","19","18"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,385","2,461","2,461","2,461","2,453","2,468","2,470","2,470","2,470","2,469","2,468","2,477","2,493","2442"
"County Jails","1,866","1,681","1,537","1,537","1,537","1,534","1,466","1,507","1,507","1,539","1,539","1,539","1,553","1,557","1594"
"COMMUNITY WORK CENTERS","1,372","552","551","550","550","544","540","534","514","493","497","497","543","537","542"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","142","150","150","150","146","145","145","128","101","101","101","143","140","127"
"Delta TVC","324","23","23","22","22","22","22","23","23","22","22","22","22","22","19"
"Forrest Satellite Facility","96","47","47","47","47","47","45","43","43","43","43","43","43","42","48"
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","50","42","42","42","46","46","45","46","53","53","53","59","59","48"
"Noxubee Satellite Facility","58","45","45","45","45","45","45","45","44","44","44","44","44","44","46"
"Pike Satellite Facility","93","73","73","73","73","70","69","69","68","68","68","68","67","67","71"
"Quitman Satellite Facility","93","47","47","47","47","45","45","45","44","44","48","48","48","46","48"
"Rankin Satellite Facility","178","119","120","120","120","119","119","116","115","115","115","115","114","114","122"
"Rankin Satellite Facility (RRP)","28","6","4","4","4","4","4","3","3","3","3","3","3","3","7"
"Flowood TVC","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,610","4,231","4,222","4,222","4,222","4,212","4,209","4,199","4,183","4,191","4,191","4,191","4,178","4,159","4124"
"Alcorn County","300","300","300","300","300","300","300","300","300","300","300","300","300","300","294"
"Bolivar County","294","287","287","287","287","287","287","287","285","285","285","285","284","282","276"
"Carroll County","280","243","237","237","237","237","237","237","236","236","236","236","236","235","242"
"Chickasaw County","310","308","307","307","307","307","307","307","305","305","305","305","304","302","302"
"George County","342","328","328","328","328","328","328","327","325","325","325","325","325","320","322"
"Holmes County","280","280","280","280","280","280","280","280","280","280","280","280","280","280","270"
"Issaquena County","328","318","318","318","318","317","317","316","315","314","314","314","314","314","304"
"Jefferson County","280","275","275","275","275","275","275","275","270","270","270","270","264","263","266"
"Kemper County","355","347","347","347","347","340","340","339","338","338","338","338","337","335","322"
"Leake County","280","273","273","273","273","269","268","268","268","267","267","267","267","266","255"
"Marion County","401","362","361","361","361","367","367","364","362","362","362","362","361","357","365"
"Stone County","280","277","277","277","277","275","275","273","273","272","272","272","270","270","270"
"Washington County","300","125","125","125","125","125","125","124","124","123","123","123","122","121","132"
"Winston County","280","211","210","210","210","208","207","206","206","218","218","218","218","218","221"
"Yazoo County","300","297","297","297","297","297","296","296","296","296","296","296","296","296","284"
"PRIVATE PRISONS","4,322","3,606","3,579","3,579","3,579","3,578","3,578","3,574","3,573","3,569","3,568","3,567","3,566","3,564","3660"
"Tallahatchie County","1,000","592","566","566","566","566","566","566","566","565","565","565","565","565","656"
"East Mississippi","1,373","1,191","1,190","1,190","1,190","1,188","1,188","1,185","1,185","1,183","1,183","1,182","1,182","1,180","1192"
"Marshall County","1,000","959","959","959","959","959","959","958","958","957","956","956","956","955","961"
"Walnut Grove","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","949","864","864","864","864","865","865","865","864","864","864","864","863","864","851"
"RESTITUTION CENTERS","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pascagoula","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TRANSITIONAL HOUSING","122","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
