"Location","Capacity","28-Aug-10","29-Aug-10","30-Aug-10","31-Aug-10","Avg Population"
"Mississippi State Penitentiary","4,435","3,471","3,470","3,464","3,460","3,469"
"Central Mississippi Correctional Facility","3,449","3,242","3,244","3,253","3,250","3,250"
"South Mississippi Correctional Institution","3,204","3,166","3,164","3,159","3,170","3,169"
"County Jails","1,485","1,695","1,695","1,692","1,705","1,627"
"COMMUNITY WORK CENTERS","1,848","1,624","1,625","1,647","1,641","1,646"
"Alcorn Satellite Facility","92","75","75","78","79","78"
"Bolivar Satellite Facility","102","88","88","89","89","90"
"Forrest Satellite Facility","96","72","72","72","72","75"
"George Satellite Facility","102","97","97","98","98","98"
"Harrison Satellite Facility","102","73","73","75","75","81"
"Jackson Satellite Facility","102","90","90","91","86","92"
"Jefferson Satellite Facility","102","90","90","90","90","91"
"Leflore Satellite Facility","102","86","86","87","85","89"
"Madison Satellite Facility","102","97","97","99","97","93"
"Noxubee Satellite Facility","92","89","89","91","91","89"
"Pike Satellite Facility","93","90","90","88","93","88"
"Quitman Satellite Facility","93","92","92","91","91","85"
"Rankin Satellite Facility","260","225","226","229","229","228"
"Simpson Satellite Facility","102","93","93","97","97","97"
"Washington Satellite Facility","102","86","86","89","89","90"
"Wilkinson Satellite Facility","102","83","83","85","82","85"
"Yazoo Satellite Facility","102","98","98","98","98","96"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,525","2,524","2,528","2,527","2,523"
"Bolivar County","294","234","234","234","235","234"
"Carroll County","280","224","223","224","224","223"
"George County","280","224","224","224","222","223"
"Holmes County","280","224","224","224","224","223"
"Issaquena County","274","217","217","218","217","219"
"Jefferson County","280","223","223","224","223","224"
"Kemper County","355","284","284","284","284","280"
"Leake County","280","226","226","226","226","226"
"Marion County","280","224","224","224","224","224"
"Stone County","280","222","222","223","224","223"
"Winston County","280","223","223","223","224","223"
"PRIVATE PRISONS","5,972","5,302","5,302","5,299","5,299","5,315"
"Delta","972","901","901","900","900","902"
"East Mississippi","1,500","1,358","1,359","1,360","1,359","1,361"
"Marshall County","1,000","901","900","900","899","900"
"Walnut Grove","1,500","1,191","1,191","1,187","1,189","1,202"
"Wilkinson County","1,000","951","951","952","952","950"
"RESTITUTION CENTERS","16","9","9","9","9","10"
"Greenwood","6","3","3","3","3","4"
"Hinds","6","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6"
"E-CODE","0","32","32","4","7","17"
"TOTALS","23,578","21,072","21,071","21,061","21,074","21,031"
