"Location","Capacity","10-Jun-11","11-Jun-11","12-Jun-11","13-Jun-11","14-Jun-11","15-Jun-11","16-Jun-11","17-Jun-11","18-Jun-11"
"Mississippi State Penitentiary","3,356","3,078","3,077","3,075","3,093","3,093","3,093","3,112","3,098","3,096"
"Central Mississippi Correctional Facility","3,449","3,230","3,230","3,228","3,233","3,242","3,243","3,188","3,197","3,198"
"South Mississippi Correctional Institution","3,204","3,136","3,133","3,131","3,120","3,128","3,126","3,127","3,131","3,130"
"County Jails","1,629","1,809","1,809","1,809","1,843","1,848","1,859","1,857","1,837","1,837"
"COMMUNITY WORK CENTERS","1,848","1,497","1,495","1,494","1,507","1,510","1,508","1,542","1,516","1,515"
"Alcorn Satellite Facility","92","80","80","80","83","83","83","83","79","79"
"Bolivar Satellite Facility","102","85","84","84","84","84","83","81","84","84"
"Forrest Satellite Facility","96","80","80","80","79","79","82","77","74","74"
"George Satellite Facility","102","81","81","81","82","82","85","82","84","84"
"Harrison Satellite Facility","102","84","84","84","85","85","85","88","87","86"
"Jackson Satellite Facility","102","85","85","85","85","84","84","86","82","82"
"Jefferson Satellite Facility","102","80","80","80","81","81","80","80","77","77"
"Leflore Satellite Facility","102","82","82","82","81","81","81","91","88","88"
"Madison Satellite Facility","102","87","87","86","87","89","88","94","93","93"
"Noxubee Satellite Facility","92","75","75","75","79","79","79","78","74","74"
"Pike Satellite Facility","93","80","80","80","79","80","80","80","79","79"
"Quitman Satellite Facility","93","72","71","71","70","72","71","71","72","72"
"Rankin Satellite Facility","260","189","189","189","194","194","194","206","204","204"
"Simpson Satellite Facility","102","89","89","89","88","88","88","95","92","92"
"Washington Satellite Facility","102","89","89","89","90","90","88","88","86","86"
"Wilkinson Satellite Facility","102","75","75","75","74","74","73","73","77","77"
"Yazoo Satellite Facility","102","84","84","84","86","85","84","89","84","84"
"REGIONAL CORRECTIONAL FACILITIES","4,063","3,261","3,260","3,258","3,260","3,257","3,262","3,272","3,274","3,272"
"Alcorn County","300","248","248","248","248","247","246","249","250","250"
"Bolivar County","294","235","235","235","234","231","231","230","230","230"
"Carroll County","280","221","221","220","220","219","224","224","223","223"
"Chickasaw County","300","243","243","243","243","250","248","246","244","244"
"George County","280","224","224","224","224","224","224","223","223","223"
"Holmes County","280","224","224","224","224","224","224","224","224","224"
"Issaquena County","274","219","218","218","215","213","217","219","219","219"
"Jefferson County","280","220","220","220","224","224","224","224","224","223"
"Kemper County","355","279","279","279","282","279","282","283","285","285"
"Leake County","280","224","224","224","224","221","221","227","227","227"
"Marion County","280","224","224","224","224","224","221","223","225","224"
"Stone County","280","224","224","224","224","224","224","224","224","224"
"Winston County","280","222","222","222","222","223","223","223","223","223"
"Yazoo County","300","254","254","253","252","254","253","253","253","253"
"PRIVATE PRISONS","5,972","5,124","5,124","5,121","5,117","5,121","5,129","5,147","5,141","5,139"
"Delta","972","899","899","898","897","897","899","899","896","896"
"East Mississippi","1,500","1,356","1,356","1,355","1,354","1,353","1,356","1,357","1,358","1,358"
"Marshall County","1,000","1,000","1,000","1,000","998","998","1,001","1,001","1,001","1,001"
"Walnut Grove","1,500","987","987","986","987","988","988","1,005","1,002","1,001"
"Wilkinson County","1,000","882","882","882","881","885","885","885","884","883"
"RESTITUTION CENTERS","16","11","11","11","12","12","11","11","11","11"
"Greenwood","6","6","6","6","6","6","6","5","6","6"
"Hinds","6","5","5","5","6","6","5","6","5","5"
"Pascagoula","4","0","0","0","0","0","0","0","0","0"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","32","10","10","8","7","12","8","42","42"
"TOTALS","23,543","21,183","21,154","21,142","21,198","21,223","21,248","21,269","21,252","21,245"
