"Location","Capacity","1-Apr-20","2-Apr-20","3-Apr-20","4-Apr-20","5-Apr-20","6-Apr-20","7-Apr-20","8-Apr-20","9-Apr-20","10-Apr-20","11-Apr-20","12-Apr-20","13-Apr-20","14-Apr-20","15-Apr-20","16-Apr-20","17-Apr-20","18-Apr-20"
"Mississippi State Penitentiary","3,560","2,099","2,094","2,094","2,091","2,090","2,089","2,087","2,084","2,081","2,079","2,080","2,080","2,080","2,080","2,075","2,074","2,072","2,070"
"Central Mississippi Correctional Facility","4,094","3,642","3,638","3,635","3,636","3,636","3,621","3,607","3,698","3,595","3,589","3,587","3,586","3,575","3,567","3,547","3,544","3,536","3,537"
"Youthful Offender Unit","58","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,615","2,600","2,598","2,597","2,597","2,593","2,592","2,591","2,591","2,589","2,588","2,587","2,584","2,578","2,571","2,569","2,568","2,568"
"County Jails","1,793","1,358","1,361","1,365","1,365","1,365","1,365","1,373","1,373","1,369","1,380","1,380","1,380","1,380","1,379","1,376","1,390","1,419","1,419"
"COMMUNITY WORK CENTERS","1,372","720","713","710","702","700","698","695","692","691","684","683","674","663","642","635","633","627","627"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","62","62","62","62","62","62","62","62","62","62","62","62","62","61","54","63","63","63"
"Delta TVC","324","138","131","128","120","118","116","115","114","114","109","108","100","92","76","74","71","66","66"
"Forrest Satellite Facility","96","81","81","81","81","81","81","80","80","80","80","80","80","80","79","78","78","77","77"
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","31","31","31","31","31","31","31","31","31","31","31","31","30","30","30","30","30","30"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","54","54","54","54","54","54","54","54","54","54","54","54","53","52","59","52","54","54"
"Noxubee Satellite Facility","58","39","39","39","39","39","39","39","39","39","39","39","39","39","38","38","38","38","38"
"Pike Satellite Facility","93","90","90","90","90","90","90","90","90","90","89","89","89","89","89","88","88","87","87"
"Quitman Satellite Facility","93","55","55","55","55","55","55","54","54","53","53","53","53","53","53","52","52","52","52"
"Rankin Satellite Facility","178","143","143","143","143","143","143","143","142","142","141","141","141","140","140","139","138","137","137"
"Rankin SF (RRD)","28","15","15","15","15","15","15","15","14","14","14","14","14","14","14","13","13","13","13"
"Flowood TVC","50","12","12","12","12","12","12","12","12","12","12","12","11","11","10","10","10","10","10"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,251","4,248","4,247","4,246","4,245","4,243","4,230","4,229","4,227","4,222","4,222","4,221","4,210","4,202","4,191","4,183","4,181","4,179"
"Alcorn County","300","294","294","294","294","294","294","293","293","293","292","292","292","292","292","288","287","287","287"
"Bolivar County","369","285","285","285","285","285","285","283","283","283","283","283","283","283","283","282","282","282","282"
"Carroll County","280","262","262","262","262","262","261","259","259","259","259","259","259","258","258","257","257","257","257"
"Chickasaw County","310","305","305","305","305","305","305","305","305","305","305","305","304","303","303","303","303","302","302"
"George County","342","331","331","331","331","331","331","328","328","328","328","328","328","326","326","326","326","326","326"
