"Location","Capacity","11-May","12-May","13-May","14-May","15-May","16-May","17-May","18-May","19-May","20-May"
"MS STATE PENITENTIARY","5,631","5,272","5,271","5,270","5,277","5,270","5,287","5,284","5,269","5,268","5,266"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,983","2,987","2,987","2,964","2,945","2,934","2,965","2,956","2,955","2,952"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","1,981","1,981","1,981","1,977","1,990","1,985","1,986","1,987","1,986","1,985"
"COUNTY JAILS","2,104","1,375","1,378","1,378","1,395","1,442","1,424","1,421","1,431","1,430","1,430"
"COMMUNITY WORK CENTERS","1,320","1,246","1,244","1,245","1,268","1,269","1,269","1,268","1,213","1,213","1,213"
"Alcorn Satellite Facility","75","69","69","69","72","72","75","73","70","70","70"
"Bolivar Satellite Facility","75","74","74","74","74","75","74","74","73","73","73"
"Forrest Satellite Facility","75","72","72","73","75","75","75","75","70","70","70"
"George Satellite Facility","75","75","75","75","74","75","73","73","72","72","72"
"Harrison Satellite Facility","75","73","73","73","74","73","73","74","71","71","71"
"Jackson Satellite Facility","75","73","72","73","73","73","73","73","71","71","71"
"Jefferson Satellite Facility","75","70","70","70","74","74","74","74","63","63","63"
"Leflore Satellite Facility","75","72","72","72","74","75","75","75","70","70","70"
"Madison Satellite Facility","75","75","75","75","75","75","75","74","72","72","72"
"Noxubee Satellite Facility","75","73","73","73","73","75","75","74","71","71","71"
"Pike Satellite Facility","75","65","65","64","66","65","64","66","66","66","66"
"Quitman Satellite Facility","75","62","62","62","62","62","62","62","62","62","62"
"Rankin Satellite Facility","120","110","109","109","109","108","106","105","104","104","104"
"Simpson Satellite Facility","75","69","69","69","73","73","73","73","69","69","69"
"Washington Satellite Facility","75","75","75","75","75","74","74","75","68","68","68"
"Wilikinson Satellite Facility","75","70","70","70","70","70","73","73","69","69","69"
"Yazoo Satellite Facility","75","69","69","69","75","75","75","75","72","72","72"
"REGIONAL CORRECTIONAL FACILITIES","2,500","2,004","2,004","2,004","2,000","2,003","2,004","2,003","2,001","2,000","2,000"
"Bolivar County","250","199","199","199","199","199","198","199","199","199","199"
"Carroll County","250","195","195","195","195","196","201","201","201","201","201"
"Holmes County","250","199","199","199","199","199","199","199","200","200","200"
"Issaquena County","250","208","208","208","208","209","208","208","208","207","207"
"Jefferson County","250","200","200","200","200","199","198","197","197","197","197"
"Kemper County","250","197","197","197","197","197","196","196","196","196","196"
"Leake County","250","197","197","197","196","199","198","197","197","197","197"
"Marion County","250","196","196","196","195","196","199","199","198","198","198"
"Stone County","250","198","198","198","198","196","195","195","195","195","195"
"Winston County","250","215","215","215","213","213","212","212","210","210","210"
"PRIVATE PRISONS","3,900","3,205","3,205","3,203","3,198","3,201","3,202","3,202","3,210","3,209","3,209"
"Delta","1,000","759","759","759","757","757","755","755","754","754","754"
"East MS","500","496","496","495","493","494","498","498","498","497","497"
"Marshall County","1,000","748","748","747","746","744","743","743","742","742","742"
"Walnut Grove","500","327","327","327","327","331","331","331","341","341","341"
"Wilkinson County","900","875","875","875","875","875","875","875","875","875","875"
"RESITITUTION CENTERS","24","17","17","17","18","18","18","18","18","18","18"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","10","10","10","11","11","11","11","11","11","11"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","20,748","18,089","18,093","18,091","18,103","18,144","18,129","18,153","18,091","18,085","18,079"
