"Location","Capacity","19-Mar-13","20-Mar-13","21-Mar-13","22-Mar-13","23-Mar-13","24-Mar-13","25-Mar-13","26-Mar-13","27-Mar-13"
"Mississippi State Penitentiary","4,648","3,375","3,374","3,369","3,375","3,370","3,371","3,387","3,385","3,385"
"Central Mississippi Correctional Facility","3,557","3,248","3,286","3,324","3,314","3,311","3,308","3,300","3,305","3,336"
"Youthful Offender Unit","42","27","27","28","28","28","28","28","29","29"
"South Mississippi Correctional Institution","3,282","3,217","3,220","3,207","3,208","3,207","3,208","3,208","3,209","3,206"
"County Jails","1,872","2,371","2,362","2,342","2,347","2,349","2,347","2,324","2,339","2,322"
"COMMUNITY WORK CENTERS","1,848","1,543","1,542","1,549","1,552","1,549","1,546","1,556","1,559","1,559"
"Alcorn Satellite Facility","92","90","90","90","91","90","90","90","92","91"
"Bolivar Satellite Facility","102","69","71","73","82","82","82","82","83","82"
"Forrest Satellite Facility","96","73","73","73","72","72","72","73","73","73"
"George Satellite Facility","102","78","78","78","78","78","78","78","79","79"
"Harrison Satellite Facility","102","82","82","83","81","80","80","82","81","80"
"Jackson Satellite Facility","102","71","71","70","73","73","73","74","74","74"
"Jefferson Satellite Facility","102","69","69","76","79","79","79","75","74","74"
"Leflore Satellite Facility","102","80","77","75","73","73","72","73","72","72"
"Madison Satellite Facility","102","85","85","86","92","92","91","90","90","89"
"Noxubee Satellite Facility","92","81","81","80","80","80","80","80","81","81"
"Pike Satellite Facility","93","92","91","91","91","91","91","91","93","93"
"Quitman Satellite Facility","93","91","91","91","88","88","88","89","88","91"
"Rankin Satellite Facility","260","247","247","246","245","245","245","247","247","250"
"Simpson Satellite Facility","102","101","101","101","100","100","100","101","102","102"
"Washington Satellite Facility","102","75","76","77","74","73","73","76","76","76"
"Wilkinson Satellite Facility","102","72","72","72","72","72","72","72","72","72"
"Yazoo Satellite Facility","102","87","87","87","81","81","80","83","82","80"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,366","4,369","4,372","4,368","4,368","4,366","4,367","4,369","4,368"
"Alcorn County","300","298","297","296","298","298","298","298","297","301"
"Bolivar County","369","369","369","369","368","368","368","368","369","367"
"Carroll County","280","277","279","280","280","280","280","279","278","280"
"Chickasaw County","300","300","300","300","299","299","298","300","299","298"
"George County","280","278","278","278","280","280","280","280","280","279"
"Holmes County","280","280","279","279","280","280","280","280","280","280"
"Issaquena County","274","274","274","274","274","274","274","273","273","274"
"Jefferson County","280","279","279","279","280","280","280","280","281","281"
"Kemper County","355","337","337","336","336","336","335","334","336","336"
"Leake County","280","274","274","280","275","275","275","279","277","277"
"Marion County","280","279","280","280","279","279","279","279","279","279"
"Stone County","280","280","280","279","279","279","279","279","280","280"
"Washington County","300","265","264","263","262","262","262","261","261","260"
"Winston County","280","275","278","280","280","280","280","279","279","278"
"Yazoo County","300","301","301","299","298","298","298","298","300","298"
"PRIVATE PRISONS","5,972","4,316","4,317","4,313","4,288","4,283","4,281","4,299","4,322","4,320"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,121","1,122","1,121","1,119","1,116","1,116","1,121","1,121","1,123"
"Marshall County","1,000","999","999","999","997","997","996","995","999","996"
"Walnut Grove","1,500","1,294","1,294","1,294","1,273","1,271","1,270","1,281","1,301","1,300"
"Wilkinson County","1,000","902","902","899","899","899","899","902","901","901"
"RESTITUTION CENTERS","16","20","22","22","31","32","32","24","25","23"
"Greenwood","6","4","4","4","4","4","3","4","4","4"
"Hinds","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","6","8","8","17","18","19","10","11","9"
"TOTALS","25,681","22,483","22,519","22,526","22,511","22,497","22,487","22,493","22,542","22,548"
