"Location","Capacity","25-Feb-04","26-Feb-04","27-Feb-04","28-Feb-04","29-Feb-04"
"MS STATE PENITENTIARY","5,768","5,662","5,685","5,662","5,659","5,659"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,152","3,151","3,157","3,158","3,159"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,081","2,079","2,094","2,095","2,093"
"COUNTY JAILS","2,176","2,138","2,144","2,188","2,188","2,188"
"COMMUNITY WORK CENTERS","1,816","1,599","1,604","1,561","1,557","1,556"
"Alcorn Satellite Facility","92","89","89","88","88","88"
"Bolivar Satellite Facility","102","95","95","89","89","89"
"Forrest Satellite Facility","96","92","96","89","89","89"
"George Satellite Facility","102","71","70","67","67","67"
"Harrison Satellite Facility","102","91","91","91","91","91"
"Jackson Satellite Facility","102","73","73","69","69","69"
"Jefferson Satellite Facility","102","79","79","77","77","77"
"Leflore Satellite Facility","102","102","100","100","100","100"
"Madison Satellite Facility","102","101","100","97","97","95"
"Noxubee Satellite Facility","92","91","90","89","89","89"
"Pike Satellite Facility","93","56","56","56","56","56"
"Quitman Satellite Facility","93","82","82","83","83","83"
"Rankin Satellite Facility","228","207","214","203","203","203"
"Simpson Satellite Facility","102","93","93","99","99","99"
"Washington Satellite Facility","102","101","101","100","100","100"
"Wilkinson Satellite Facility","102","75","75","74","74","74"
"Yazoo Satellite Facility","102","101","100","90","86","87"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,742","2,740","2,740","2,739","2,739"
"Bolivar County","250","247","250","250","250","250"
"Carroll County","250","249","249","249","250","250"
"George County (opened on May 10th)","250","250","245","245","245","245"
"Holmes County","250","249","249","250","250","250"
"Issaquena County","250","250","250","249","248","248"
"Jefferson County","250","249","250","250","250","250"
"Kemper County","250","249","248","248","248","248"
"Leake County","250","250","250","250","250","250"
"Marion County","250","250","250","249","249","249"
"Stone County","250","250","250","250","249","249"
"Winston County","250","249","249","250","250","250"
"PRIVATE PRISONS","3,750","3,435","3,432","3,436","3,435","3,433"
"East MS","1,000","722","721","729","728","727"
"Marshall County","1,000","993","993","991","991","991"
"Walnut Grove","750","725","725","722","722","722"
"Wilkinson County","1,000","995","993","994","994","993"
"RESITITUTION CENTERS","24","14","14","14","14","14"
"Greenwood","6","6","6","6","6","6"
"Hinds","12","5","5","5","5","5"
"Pascagoula","6","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5"
"E-CODE","","9","9","53","54","53"
"TOTALS","21,737","20,837","20,863","20,910","20,904","20,899"
