"Location","Capacity","1-Dec-15","2-Dec-15","3-Dec-15","4-Dec-15","5-Dec-15","6-Dec-15","7-Dec-15","8-Dec-15","9-Dec-15"
"Mississippi State Penitentiary","3,590","3,258","3,265","3,286","3,301","3,303","3,340","3,308","3,305","3,305"
"MSP TVC","","81","77","77","75","75","37","73","88","61"
"Central Mississippi Correctional Facility","2,932","2,657","2,690","2,705","2,682","2,680","2,682","2,725","2,758","2,797"
"Youthful Offender Unit","58","28","28","28","28","28","28","28","28","29"
"CMCF TVC","","90","85","83","84","84","84","65","21","20"
"South Mississippi Correctional Institution","2,882","2,714","2,719","2,762","2,726","2,726","2,724","2,722","2,720","2,722"
"SMCI TVC","","84","84","81","78","77","77","75","57","55"
"County Jails","1,780","1,314","1,323","1,290","1,304","1,304","1,304","1,298","1,300","1,273"
"COMMUNITY WORK CENTERS","1,848","1,065","1,070","1,068","1,061","1,060","1,059","1,069","1,108","1,126"
"Alcorn Satellite Facility","92","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","76","74","73","73","73","73","72","56","54"
"Forrest Satellite Facility","96","47","54","51","67","67","67","66","65","65"
"George Satellite Facility","102","52","53","51","53","53","53","54","57","57"
"Harrison Satellite Facility","102","50","64","61","65","65","65","65","67","67"
"Jackson Satellite Facility","102","60","44","44","45","45","44","43","43","43"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","69","72","74","75","75","75","74","73","72"
"Madison Satellite Facility","102","70","70","72","71","71","71","75","74","72"
"Noxubee Satellite Facility","92","74","74","77","77","77","77","77","85","85"
"Pike Satellite Facility","93","72","73","82","80","80","80","81","81","83"
"Quitman Satellite Facility","93","70","69","69","69","68","68","62","62","62"
"Rankin Satellite Facility","260","174","174","174","175","175","175","173","179","174"
"Simpson Satellite Facility","","64","62","51","20","20","20","0","0","0"
"Simpson TVC and Simpson TVC support","102","0","0","0","0","0","0","28","58","84"
"Washington Satellite Facility","102","74","74","74","74","74","74","74","82","82"
"Wilkinson Satellite Facility","102","53","53","54","55","55","55","62","62","62"
"Yazoo Satellite Facility","102","60","60","61","62","62","62","63","64","64"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,699","3,681","3,670","3,691","3,688","3,688","3,669","3,678","3,684"
"Alcorn County","300","0","0","0","0","0","0","0","0","0"
"Bolivar County","369","320","319","317","317","317","317","317","327","327"
"Carroll County","280","268","267","256","257","257","257","256","265","264"
"Chickasaw County","300","252","251","252","253","253","253","252","252","251"
"George County","280","255","256","255","254","254","254","252","252","252"
"Holmes County","280","278","277","276","277","277","277","274","273","274"
"Issaquena County","274","257","255","253","254","254","254","254","254","254"
"Jefferson County","280","259","259","256","257","257","257","256","254","253"
"Kemper County","355","314","306","315","315","314","314","311","310","314"
"Leake County","280","234","234","233","236","235","235","231","229","232"
"Marion County","280","265","265","264","265","264","264","264","262","263"
"Stone County","280","276","275","273","276","276","276","276","275","274"
"Washington County","300","215","215","215","215","215","215","212","211","211"
"Winston County","280","241","243","247","248","248","248","247","247","248"
"Yazoo County","300","265","259","258","267","267","267","267","267","267"
"PRIVATE PRISONS","5,972","3,895","3,893","3,883","3,904","3,902","3,902","3,893","3,890","3,885"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,117","1,116","1,114","1,117","1,117","1,117","1,115","1,114","1,113"
"Marshall County","1,000","992","992","990","1,000","1,000","1,000","999","998","997"
"Walnut Grove","1,500","892","891","890","898","896","896","892","891","891"
"Wilkinson County","1,000","894","894","889","889","889","889","887","887","884"
"RESTITUTION CENTERS","16","12","12","9","12","12","12","12","12","12"
"Greenwood","6","4","4","3","4","4","4","4","4","4"
"Hinds","6","6","6","5","6","6","6","6","6","6"
"Pascagoula","4","2","2","1","2","2","2","2","2","2"
"TOTALS","23,516","18,897","18,927","18,942","18,946","18,939","18,937","18,937","18,965","18,969"
