"Location","Capacity","19-Apr-09","20-Apr-09","21-Apr-09","22-Apr-09","23-Apr-09","24-Apr-09","25-Apr-09","26-Apr-09","27-Apr-09"
"Mississippi State Penitentiary","4,627","4,116","4,126","4,117","4,113","4,112","4,126","4,123","4,120","4,115"
"Central Mississippi Correctional Facility","3,665","3,520","3,529","3,538","3,515","3,489","3,453","3,454","3,452","3,450"
"South Mississippi Correctional Institution","3,204","3,108","3,107","3,107","3,112","3,120","3,093","3,092","3,090","3,092"
"County Jails","1,767","1,689","1,663","1,646","1,672","1,738","1,762","1,762","1,762","1,764"
"COMMUNITY WORK CENTERS","1,848","1,657","1,660","1,653","1,652","1,649","1,639","1,633","1,633","1,647"
"Alcorn Satellite Facility","92","85","85","85","85","84","84","83","83","83"
"Bolivar Satellite Facility","102","97","97","97","97","97","93","93","93","96"
"Forrest Satellite Facility","96","81","81","80","80","80","78","78","78","79"
"George Satellite Facility","102","88","89","89","90","90","88","88","88","90"
"Harrison Satellite Facility","102","87","88","89","89","89","88","88","88","89"
"Jackson Satellite Facility","102","94","95","93","92","92","91","90","90","87"
"Jefferson Satellite Facility","102","95","91","91","91","91","92","92","92","94"
"Leflore Satellite Facility","102","92","92","90","89","90","86","86","86","90"
"Madison Satellite Facility","102","95","97","94","94","92","96","96","96","96"
"Noxubee Satellite Facility","92","80","80","79","78","77","77","77","77","77"
"Pike Satellite Facility","93","73","73","73","73","73","72","71","71","71"
"Quitman Satellite Facility","93","70","70","71","70","70","69","68","69","69"
"Rankin Satellite Facility","260","251","252","252","253","253","250","250","249","252"
"Simpson Satellite Facility","102","93","96","95","97","96","97","97","97","97"
"Washington Satellite Facility","102","100","97","97","96","96","95","95","95","96"
"Wilkinson Satellite Facility","102","88","88","88","87","86","86","84","84","84"
"Yazoo Satellite Facility","102","88","89","90","91","93","97","97","97","97"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,923","2,927","2,927","2,931","2,917","2,929","2,928","2,926","2,922"
"Bolivar County","294","277","279","281","281","281","280","279","279","279"
"Carroll County","280","264","265","265","266","266","264","264","264","263"
"George County","280","265","265","265","266","266","266","266","266","266"
"Holmes County","280","266","266","266","266","266","266","266","266","266"
"Issaquena County","274","261","259","260","260","260","260","260","259","259"
"Jefferson County","280","266","266","266","265","261","265","265","265","265"
"Kemper County","280","265","265","264","266","263","266","266","266","266"
"Leake County","280","263","266","265","265","267","266","266","265","264"
"Marion County","280","265","265","266","266","266","265","265","265","265"
"Stone County","280","266","266","264","266","266","266","266","266","265"
"Winston County","280","265","265","265","264","255","265","265","265","264"
"PRIVATE PRISONS","5,972","5,476","5,482","5,489","5,496","5,498","5,493","5,493","5,489","5,487"
"Delta","972","954","952","953","957","956","952","952","952","951"
"East Mississippi","1,500","1,363","1,363","1,362","1,362","1,361","1,360","1,360","1,357","1,357"
"Marshall County","1,000","981","982","981","983","979","983","983","983","983"
"Walnut Grove","1,500","1,203","1,208","1,217","1,219","1,226","1,223","1,223","1,222","1,222"
"Wilkinson County","1,000","975","977","976","975","976","975","975","975","974"
"RESTITUTION CENTERS","16","12","12","12","13","12","11","11","11","12"
"Greenwood","6","6","6","6","6","6","5","5","5","6"
"Hinds","6","3","3","3","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","28","9","12","13","8","27","30","31","12"
"TOTALS","24,193","22,535","22,521","22,507","22,523","22,549","22,539","22,532","22,520","22,507"
