"Location","Capacity","27-Mar-05","28-Mar-05","29-Mar-05","30-Mar-05","31-Mar-05"
"Mississippi State Penitentiary","4,744","4,534","0","0","0","0"
"Central Mississippi Correctional Facility","3,233","3,069","0","0","0","0"
"South Mississippi Correctional Institution","2,214","2,173","0","0","0","0"
"County Jails","2,327","1,751","0","0","0","0"
"COMMUNITY WORK CENTERS","1,816","1,711","0","0","0","0"
"Alcorn Satellite Facility","92","90","0","0","0","0"
"Bolivar Satellite Facility","102","94","0","0","0","0"
"Forrest Satellite Facility","96","85","0","0","0","0"
"George Satellite Facility","102","93","0","0","0","0"
"Harrison Satellite Facility","102","96","0","0","0","0"
"Jackson Satellite Facility","102","99","0","0","0","0"
"Jefferson Satellite Facility","102","99","0","0","0","0"
"Leflore Satellite Facility","102","98","0","0","0","0"
"Madison Satellite Facility","102","100","0","0","0","0"
"Noxubee Satellite Facility","92","89","0","0","0","0"
"Pike Satellite Facility","93","81","0","0","0","0"
"Quitman Satellite Facility","93","84","0","0","0","0"
"Rankin Satellite Facility","228","212","0","0","0","0"
"Simpson Satellite Facility","102","98","0","0","0","0"
"Washington Satellite Facility","102","97","0","0","0","0"
"Wilkinson Satellite Facility","102","97","0","0","0","0"
"Yazoo Satellite Facility","102","99","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,738","0","0","0","0"
"Bolivar County","250","250","0","0","0","0"
"Carroll County","250","250","0","0","0","0"
"George County","250","250","0","0","0","0"
"Holmes County","250","249","0","0","0","0"
"Issaquena County","250","245","0","0","0","0"
"Jefferson County","250","247","0","0","0","0"
"Kemper County","250","249","0","0","0","0"
"Leake County","250","250","0","0","0","0"
"Marion County","250","250","0","0","0","0"
"Stone County","250","250","0","0","0","0"
"Winston County","250","248","0","0","0","0"
"PRIVATE PRISONS","5,088","4,759","0","0","0","0"
"Delta","960","959","0","0","0","0"
"East Mississippi","1,000","869","0","0","0","0"
"Marshall County","1,000","987","0","0","0","0"
"Tallahatchie County","128","128","0","0","0","0"
"Walnut Grove","1,000","837","0","0","0","0"
"Wilkinson County","1,000","979","0","0","0","0"
"RESTITUTION CENTERS","18","13","0","0","0","0"
"Greenwood","6","6","0","0","0","0"
"Hinds","6","5","0","0","0","0"
"Pascagoula","6","2","0","0","0","0"
"GOVERNOR'S MANSION","6","5","0","0","0","0"
"E-CODE","","40","0","0","0","0"
"TOTALS","22,196","20,793","0","0","0","0"
