"Location","Capacity","1-Jul-04","2-Jul-04","3-Jul-04","4-Jul-04","5-Jul-04","6-Jul-04","7-Jul-04","8-Jul-04","9-Jul-04","10-Jul-04","11-Jul-04","12-Jul-04","13-Jul-04"
"MS STATE PENITENTIARY(SEE NOTE BELOW)","4,892","4,930","4,921","4,916","4,915","4,913","4,909","4,905","4,890","4,846","4,844","4,842","4,841","4,837"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,153","3,151","3,149","3,149","3,149","3,134","3,124","3,149","3,122","3,119","3,118","3,126","3,117"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,177","2,177","2,177","2,177","2,178","2,180","2,190","2,188","2,178","2,177","2,176","2,170","2,178"
"COUNTY JAILS","2,224","2,159","2,138","2,138","2,138","2,138","2,136","2,130","2,147","2,146","2,143","2,146","2,158","2,129"
"COMMUNITY WORK CENTERS","1,816","1,745","1,745","1,745","1,745","1,745","1,743","1,741","1,740","1,687","1,687","1,688","1,745","1,736"
"Alcorn Satellite Facility","92","91","91","91","91","91","91","90","92","85","85","85","92","92"
"Bolivar Satellite Facility","102","99","99","99","99","99","99","99","102","101","101","101","102","101"
"Forrest Satellite Facility","96","95","95","95","95","95","94","94","94","92","92","92","94","95"
"George Satellite Facility","102","102","102","102","102","102","102","102","102","100","100","100","102","93"
"Harrison Satellite Facility","102","100","101","101","101","101","99","97","96","99","99","99","101","100"
"Jackson Satellite Facility","102","93","97","97","97","97","100","100","100","97","97","97","101","99"
"Jefferson Satellite Facility","102","101","100","100","100","100","100","99","98","94","94","94","97","97"
"Leflore Satellite Facility","102","102","102","102","102","102","102","102","102","98","98","98","101","101"
"Madison Satellite Facility","102","101","101","101","101","101","102","100","100","101","101","101","102","102"
"Noxubee Satellite Facility","92","91","91","91","91","91","91","91","91","82","82","82","90","90"
"Pike Satellite Facility","93","72","73","73","73","73","73","73","73","71","71","71","72","71"
"Quitman Satellite Facility","93","83","83","83","83","83","82","82","83","82","82","82","83","89"
"Rankin Satellite Facility","228","216","215","215","215","215","216","216","215","213","213","213","216","215"
"Simpson Satellite Facility","102","97","97","97","97","97","96","100","101","96","96","96","101","102"
"Washington Satellite Facility","102","101","99","99","99","99","99","98","95","88","88","88","96","95"
"Wilkinson Satellite Facility","102","99","99","99","99","99","97","96","96","95","95","95","95","95"
"Yazoo Satellite Facility","102","102","100","100","100","100","100","102","100","93","93","94","100","99"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,731","2,730","2,730","2,730","2,730","2,741","2,741","2,738","2,736","2,734","2,733","2,734","2,746"
"Bolivar County","250","247","246","246","246","246","248","250","249","243","242","241","241","249"
"Carroll County","250","249","248","248","248","248","250","250","250","249","249","249","248","250"
"George County","250","249","250","250","250","250","249","248","249","250","250","250","249","249"
"Holmes County","250","249","248","248","248","248","250","250","248","249","249","249","252","250"
"Issaquena County","250","246","247","247","247","247","248","247","247","248","247","248","252","249"
"Jefferson County","250","248","246","246","246","246","248","248","250","249","249","249","248","249"
"Kemper County","250","248","249","249","249","249","250","250","245","250","250","249","249","250"
"Leake County","250","249","249","249","249","249","250","250","250","249","249","249","249","250"
"Marion County","250","250","250","250","250","250","250","250","250","250","250","250","247","250"
"Stone County","250","248","249","249","249","249","249","249","250","250","250","250","250","250"
"Winston County","250","248","248","248","248","248","249","249","250","249","249","249","249","250"
"PRIVATE PRISONS","4,960","4,400","4,407","4,405","4,404","4,404","4,409","4,426","4,427","4,474","4,474","4,474","4,475","4,473"
"Delta                    (SEE NOTE BELOW)","960","947","946","946","945","945","945","959","958","962","962","962","962","961"
"East MS","1,000","724","730","730","730","730","729","729","728","774","774","774","774","772"
"Marshall County","1,000","995","993","993","993","993","993","993","991","993","993","993","996","995"
"Walnut Grove","1,000","745","744","743","743","743","752","757","756","755","755","755","754","751"
"Wilkinson County","1,000","989","994","993","993","993","990","988","994","990","990","990","989","994"
"RESITITUTION CENTERS","24","16","16","16","16","16","15","15","15","11","11","10","14","14"
"Greenwood","6","6","6","6","6","6","6","6","6","2","2","2","6","6"
"Hinds","12","6","6","6","6","6","5","5","5","5","5","5","5","5"
"Pascagoula","6","4","4","4","4","4","4","4","4","4","4","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","7","7","8","8","6","6","6","9","70","71","71","6","6"
"TOTALS","22,119","21,323","21,297","21,289","21,287","21,284","21,278","21,283","21,308","21,275","21,265","21,263","21,274","21,241"
