"Location","Capacity","1-Jul-08","2-Jul-08","3-Jul-08","4-Jul-08","5-Jul-08","6-Jul-08","7-Jul-08","8-Jul-08","9-Jul-08"
"Mississippi State Penitentiary","4,527","4,224","4,220","4,212","4,207","4,205","4,203","4,197","4,195","4,193"
"Central Mississippi Correctional Facility","3,665","3,761","3,749","3,706","3,705","3,707","3,706","3,727","3,690","3,730"
"South Mississippi Correctional Institution","3,204","3,130","3,132","3,120","3,118","3,118","3,115","3,110","3,133","3,145"
"County Jails","1,711","1,999","2,040","2,101","2,103","2,103","2,103","2,106","2,097","2,063"
"COMMUNITY WORK CENTERS","1,848","1,794","1,790","1,799","1,792","1,787","1,786","1,776","1,795","1,799"
"Alcorn Satellite Facility","92","92","92","91","91","90","90","90","91","91"
"Bolivar Satellite Facility","102","96","98","102","102","102","102","102","102","102"
"Forrest Satellite Facility","96","94","88","88","88","88","88","88","87","88"
"George Satellite Facility","102","98","98","100","100","100","100","100","100","100"
"Harrison Satellite Facility","102","92","97","99","97","96","96","94","94","102"
"Jackson Satellite Facility","102","102","102","101","101","100","100","100","101","100"
"Jefferson Satellite Facility","102","102","101","101","101","101","101","101","100","98"
"Leflore Satellite Facility","102","100","98","102","102","101","101","101","101","99"
"Madison Satellite Facility","102","101","101","101","101","101","101","101","102","101"
"Noxubee Satellite Facility","92","89","89","89","89","90","90","89","92","92"
"Pike Satellite Facility","93","88","87","87","86","86","86","84","88","88"
"Quitman Satellite Facility","93","90","90","90","90","90","90","90","91","93"
"Rankin Satellite Facility","260","249","248","250","247","246","245","243","249","249"
"Simpson Satellite Facility","102","99","99","99","98","97","97","98","100","99"
"Washington Satellite Facility","102","100","100","102","102","102","102","99","98","96"
"Wilkinson Satellite Facility","102","102","102","99","99","99","99","98","98","101"
"Yazoo Satellite Facility","102","100","100","98","98","98","98","98","101","100"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,081","3,073","3,083","3,081","3,081","3,079","3,078","3,079","3,070"
"Bolivar County","294","293","295","294","294","294","294","294","292","292"
"Carroll County","280","279","275","279","279","279","279","279","280","280"
"George County","280","278","276","280","279","279","279","278","278","278"
"Holmes County","280","280","278","280","280","280","280","280","280","280"
"Issaquena County","274","275","274","274","273","273","273","273","274","272"
"Jefferson County","280","280","280","280","280","280","279","277","277","275"
"Kemper County","280","280","280","280","280","280","279","280","280","279"
"Leake County","280","280","280","280","280","280","280","280","280","277"
"Marion County","280","280","280","278","278","278","278","278","279","277"
"Stone County","280","276","276","279","279","279","279","279","279","280"
"Winston County","280","280","279","279","279","279","279","280","280","280"
"PRIVATE PRISONS","4,972","4,807","4,796","4,797","4,795","4,792","4,790","4,786","4,796","4,797"
"Delta","972","973","966","968","968","968","967","969","970","971"
"East Mississippi","1,000","898","897","896","895","893","893","892","891","892"
"Marshall County","1,000","999","998","1,000","1,000","999","999","999","999","998"
"Walnut Grove","1,000","953","953","951","950","950","949","944","949","950"
"Wilkinson County","1,000","984","982","982","982","982","982","982","987","986"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","12","12","13"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","4"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","8","10","0","10","6","6","4","3","2"
"TOTALS","23,037","22,822","22,828","22,836","22,829","22,817","22,806","22,802","22,806","22,818"
