"Location","Capacity","19-Jun-13","20-Jun-13","21-Jun-13","22-Jun-13","23-Jun-13","24-Jun-13","25-Jun-13","26-Jun-13","27-Jun-13"
"Mississippi State Penitentiary","4,648","3,390","3,387","3,384","3,383","3,382","3,379","3,389","3,388","3,386"
"Central Mississippi Correctional Facility","3,557","3,365","3,345","3,337","3,335","3,337","3,344","3,344","3,360","3,376"
"Youthful Offender Unit","42","32","31","31","31","27","31","31","30","33"
"South Mississippi Correctional Institution","3,282","3,229","3,229","3,226","3,227","3,227","3,221","3,218","3,222","3,222"
"County Jails","1,872","2,338","2,355","2,371","2,371","2,371","2,356","2,359","2,341","2,351"
"COMMUNITY WORK CENTERS","1,848","1,517","1,537","1,502","1,496","1,496","1,524","1,528","1,522","1,516"
"Alcorn Satellite Facility","92","91","91","90","90","90","90","92","92","91"
"Bolivar Satellite Facility","102","55","62","57","57","57","63","62","63","63"
"Forrest Satellite Facility","96","78","78","74","74","74","78","78","77","77"
"George Satellite Facility","102","65","70","65","65","65","69","69","71","70"
"Harrison Satellite Facility","102","92","92","91","88","88","88","87","86","87"
"Jackson Satellite Facility","102","84","84","82","81","81","83","82","82","82"
"Jefferson Satellite Facility","102","60","62","59","59","59","62","62","60","60"
"Leflore Satellite Facility","102","89","89","85","85","85","83","82","82","82"
"Madison Satellite Facility","102","88","91","88","88","88","90","90","92","92"
"Noxubee Satellite Facility","92","75","75","75","75","75","80","79","79","79"
"Pike Satellite Facility","93","91","93","91","91","91","93","93","93","93"
"Quitman Satellite Facility","93","84","84","85","83","83","89","89","93","92"
"Rankin Satellite Facility","260","241","240","238","238","238","237","242","237","236"
"Simpson Satellite Facility","102","98","97","96","96","96","95","95","94","94"
"Washington Satellite Facility","102","81","83","83","83","83","81","83","84","84"
"Wilkinson Satellite Facility","102","75","76","75","75","75","76","76","74","73"
"Yazoo Satellite Facility","102","70","70","68","68","68","67","67","63","61"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,427","4,422","4,431","4,428","4,425","4,422","4,430","4,429","4,427"
"Alcorn County","300","300","300","300","300","300","300","300","298","298"
"Bolivar County","369","369","369","369","369","369","369","369","368","367"
"Carroll County","280","280","278","278","277","277","276","279","279","277"
"Chickasaw County","300","299","298","300","300","299","299","298","297","297"
"George County","280","279","279","280","279","279","279","280","280","279"
"Holmes County","280","280","280","280","280","279","280","281","281","280"
"Issaquena County","274","274","274","274","274","274","273","273","273","273"
"Jefferson County","280","275","275","280","280","280","280","279","279","280"
"Kemper County","355","355","355","355","354","354","354","355","355","354"
"Leake County","280","280","278","278","278","278","279","281","282","281"
"Marion County","280","280","280","280","280","280","279","280","280","280"
"Stone County","280","280","280","280","280","279","279","280","280","280"
"Washington County","300","300","300","300","300","300","300","299","299","299"
"Winston County","280","278","278","279","279","279","276","276","278","282"
"Yazoo County","300","298","298","298","298","298","299","300","300","300"
"PRIVATE PRISONS","5,972","4,310","4,317","4,317","4,313","4,311","4,316","4,315","4,317","4,313"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,125","1,125","1,125","1,122","1,122","1,124","1,124","1,126","1,123"
"Marshall County","1,000","999","998","995","994","992","998","997","997","997"
"Walnut Grove","1,500","1,295","1,298","1,300","1,300","1,300","1,299","1,299","1,299","1,298"
"Wilkinson County","1,000","891","896","897","897","897","895","895","895","895"
"RESTITUTION CENTERS","16","11","11","10","10","10","11","10","10","10"
"Greenwood","6","4","4","4","4","4","4","3","3","3"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","2","2","2","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,681","22,619","22,634","22,609","22,594","22,586","22,604","22,624","22,619","22,634"
