"Location","Capacity","1-Dec-19","2-Dec-19","3-Dec-19","4-Dec-19","5-Dec-19","6-Dec-19","7-Dec-19","8-Dec-19","9-Dec-19","10-Dec-19","11-Dec-19","12-Dec-19","13-Dec-19","14-Dec-19","15-Dec-19","16-Dec-19","17-Dec-19"
"Mississippi State Penitentiary","3,560","3,239","3,240","3,257","3,252","3,236","3,231","3,329","3,229","3,230","3,242","3,246","3,262","3,270","3,271","3,271","3,274","3,272"
"Central Mississippi Correctional Facility","4,094","3,678","3,686","3,668","3,652","3,659","3,686","3,688","3,685","3,708","3,721","3,708","3,746","3,758","3,757","3,755","3,759","3,765"
"Youthful Offender Unit","58","24","24","24","24","25","24","24","24","23","23","23","23","22","22","22","22","22"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,649","2,650","2,639","2,661","2,659","2,658","2,658","2,659","2,659","2,657","2,656","2,649","2,645","2,645","2,647","2,651","2,652"
"County Jails","1,793","1,274","1,280","1,294","1,278","1,274","1,285","1,285","1,285","1,268","1,244","1,252","1,224","1,214","1,214","1,214","1,170","1,193"
"COMMUNITY WORK CENTERS","1,372","793","782","775","785","785","784","783","781","772","771","791","788","788","798","795","810","816"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","70","69","69","69","69","69","69","69","69","69","69","69","69","69","69","68","68"
"Delta TVC","324","146","142","135","136","135","135","135","135","128","129","149","147","147","158","155","168","168"
"Forrest Satellite Facility","96","56","55","56","56","57","57","57","57","57","57","56","55","55","55","55","55","55"
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","38","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","73","72","72","71","71","71","71","71","71","72","69","73","73","73","73","74","73"
"Noxubee Satellite Facility","58","49","48","47","47","47","47","47","47","47","46","50","46","46","46","46","46","46"
"Pike Satellite Facility","93","66","66","66","66","66","66","66","66","65","65","66","66","65","65","65","65","64"
"Quitman Satellite Facility","93","67","67","67","67","67","67","67","67","67","66","65","65","65","64","64","64","64"
"Rankin Satellite Facility","178","132","132","132","142","142","142","142","142","143","144","145","144","144","144","144","145","147"
"Rankin RID","28","17","16","17","21","21","21","20","20","20","20","20","19","21","21","21","21","21"
"Flowood TVC","50","29","29","28","25","25","24","24","22","20","18","18","16","16","16","16","16","22"
"Simpson TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","50","49","49","48","48","48","48","48","48","48","47","51","50","50","50","51","51"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,301","4,283","4,298","4,276","4,274","4,268","4,267","4,267","4,260","4,256","4,275","4,264","4,270","4,268","4,268","4,255","4,248"
"Alcorn County","300","299","298","298","297","297","297","297","297","297","299","299","298","298","298","298","298","298"
"Bolivar County","369","293","291","291","294","294","294","294","294","294","294","294","294","294","294","294","294","293"
"Carroll County","280","273","273","268","267","272","272","272","272","272","272","272","271","271","271","271","271","270"
"Chickasaw County","310","310","310","310","310","310","310","310","310","310","309","310","310","310","310","310","310","310"
"George County","342","337","335","332","331","338","337","337","337","341","337","337","339","339","339","339","333","333"
"Holmes County","280","276","275","276","275","272","272","271","271","269","274","276","277","277","277","277","277","277"
"Issaquena County","297","322","321","321","321","321","301","301","301","298","295","295","291","288","287","287","286","286"
"Jefferson County","280","279","279","279","279","279","277","277","277","276","277","280","280","280","280","280","279","278"
"Kemper County","355","350","345","351","351","349","349","349","349","348","348","349","346","347","347","347","345","345"
"Leake County","280","275","273","279","277","271","271","271","271","270","269","277","274","281","281","281","280","280"
"Marion County","280","278","276","277","276","276","295","295","295","295","295","298","300","299","299","299","299","299"
"Stone County","326","278","279","279","279","278","278","278","278","277","277","280","280","280","280","280","279","279"
"Washington County","300","161","160","158","146","146","146","146","146","146","146","146","146","145","145","145","144","142"
"Winston County","280","270","270","280","278","277","276","276","276","274","274","270","268","270","269","269","270","269"
"Yazoo County","300","300","298","299","295","294","293","293","293","293","290","292","290","291","291","291","290","289"
"PRIVATE PRISONS","5,472","3,172","3,168","3,162","3,172","3,185","3,187","3,187","3,187","3,181","3,183","3,182","3,178","3,175","3,174","3,174","3,175","3,177"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,235","1,232","1,227","1,240","1,250","1,250","1,250","1,250","1,249","1,251","1,251","1,247","1,245","1,244","1,244","1,249","1,251"
"Marshall County","1,000","996","996","996","995","1,000","998","998","998","997","997","997","997","996","996","996","993","993"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","941","940","939","937","935","939","939","939","935","935","934","934","934","934","934","933","933"
"RESTITUTION CENTERS","10","8","8","8","8","7","7","7","7","7","7","7","7","7","7","7","7","7"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","122","29","29","28","26","28","28","28","28","28","0","29","29","24","24","24","24","25"
"Madison","40","3","2","3","3","3","3","3","3","3","2","2","2","2","2","2","2","3"
"Noxubee","34","19","19","18","18","20","20","20","20","20","20","20","20","16","16","16","16","16"
"Rankin/Flowood","8","5","5","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","2","3","3","1","1","1","1","1","1","2","3","3","3","3","3","3","3"
"TOTALS","24,142","19,167","19,150","19,153","19,134","19,132","19,158","19,256","19,152","19,136","19,104","19,169","19,170","19,173","19,180","19,177","19,147","19,177"
