"Location","Capacity","14-Apr-04","15-Apr-04","16-Apr-04","17-Apr-04","18-Apr-04","19-Apr-04","20-Apr-04","21-Apr-04","22-Apr-04","23-Apr-04","24-Apr-04","25-Apr-04","26-Apr-04"
"MS STATE PENITENTIARY","5,768","5,559","5,544","5,537","5,537","5,537","5,541","5,491","5,504","5,467","5,469","5,467","5,466","5,465"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,189","3,161","3,170","3,170","3,170","3,175","3,185","3,188","3,178","3,176","3,174","3,174","3,173"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,161","2,160","2,173","2,171","2,171","2,172","2,192","2,186","2,191","2,200","2,201","2,203","2,204"
"COUNTY JAILS","2,176","2,174","2,173","2,161","2,161","2,161","2,150","2,132","2,100","2,104","2,081","2,081","2,081","2,083"
"COMMUNITY WORK CENTERS","1,816","1,634","1,646","1,641","1,641","1,640","1,645","1,647","1,662","1,669","1,645","1,645","1,645","1,666"
"Alcorn Satellite Facility","92","90","92","90","90","90","92","92","91","92","91","91","92","92"
"Bolivar Satellite Facility","102","98","101","101","101","101","101","101","101","102","101","101","101","101"
"Forrest Satellite Facility","96","95","95","93","93","93","96","96","96","96","90","90","90","95"
"George Satellite Facility","102","77","86","85","85","85","84","84","84","84","85","85","85","86"
"Harrison Satellite Facility","102","90","90","89","89","89","89","89","92","92","91","91","91","91"
"Jackson Satellite Facility","102","78","78","78","78","78","78","78","85","82","79","79","78","81"
"Jefferson Satellite Facility","102","88","86","87","87","87","86","86","86","86","86","86","86","86"
"Leflore Satellite Facility","102","101","102","102","102","102","101","101","101","102","99","99","99","102"
"Madison Satellite Facility","102","102","102","102","102","102","101","100","102","102","100","100","100","102"
"Noxubee Satellite Facility","92","89","88","88","88","88","87","90","90","89","89","89","89","89"
"Pike Satellite Facility","93","71","71","71","71","71","70","70","73","71","71","71","71","71"
"Quitman Satellite Facility","93","76","75","78","78","78","80","80","81","80","78","78","78","79"
"Rankin Satellite Facility","228","196","196","196","196","196","197","197","197","209","206","206","206","208"
"Simpson Satellite Facility","102","100","100","98","98","98","100","100","100","98","102","102","102","101"
"Washington Satellite Facility","102","101","101","100","100","100","101","102","101","101","101","101","101","100"
"Wilkinson Satellite Facility","102","83","83","83","83","82","82","82","82","81","78","78","78","80"
"Yazoo Satellite Facility","102","99","100","100","100","100","100","99","100","102","98","98","98","102"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,741","2,740","2,749","2,749","2,748","2,747","2,747","2,749","2,748","2,749","2,748","2,747","2,746"
"Bolivar County","250","248","248","250","250","250","250","250","250","250","250","250","250","250"
"Carroll County","250","250","250","250","250","250","249","249","250","250","250","250","250","250"
"George County","250","248","247","249","249","248","249","248","250","250","250","250","249","249"
"Holmes County","250","249","249","250","250","250","250","250","250","248","250","250","250","250"
"Issaquena County","250","247","247","250","250","250","249","250","250","250","249","249","249","249"
"Jefferson County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Kemper County","250","250","250","250","250","250","250","250","249","250","250","250","250","250"
"Leake County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Marion County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Stone County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Winston County","250","249","249","250","250","250","250","250","250","250","250","249","249","248"
"PRIVATE PRISONS","4,700","3,601","3,651","3,648","3,648","3,647","3,645","3,689","3,690","3,735","3,745","3,745","3,744","3,743"
"Delta       (Reopened 04-01-04)","950","173","217","217","217","217","217","261","261","306","306","306","306","306"
"East MS","1,000","718","725","724","724","724","724","724","724","724","728","728","727","727"
"Marshall County","1,000","993","993","993","993","992","992","994","993","995","995","995","995","995"
"Walnut Grove","750","723","723","719","719","719","718","717","719","718","721","721","721","721"
"Wilkinson County","1,000","994","993","995","995","995","994","993","993","992","995","995","995","994"
"RESITITUTION CENTERS","24","14","14","12","12","12","13","14","14","14","13","13","13","14"
"Greenwood","6","6","6","4","4","4","6","6","6","6","6","6","6","6"
"Hinds","12","5","5","5","5","5","4","5","5","5","5","5","5","5"
"Pascagoula","6","3","3","3","3","3","3","3","3","3","2","2","2","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"E-CODE","","7","6","17","17","16","7","6","9","8","31","29","28","6"
"TOTALS","22,687","21,086","21,101","21,114","21,112","21,108","21,101","21,109","21,108","21,120","21,115","21,109","21,107","21,106"
