"TYPE OF OFFENDER","NO. OF OFFENDERS"
"Armed Robbery (Mandatory)","1,802"
"Lifers","1,697"
"Habitual Offenders","1,453"
"Habitual Lifers","280"
"Death Row","66"
"TOTAL","5,298"
