"TYPE OF OFFENDER","OFFENDERS"
"Armed Robbery (Mandatory)","1,735"
"Lifers","1,673"
"Habitual Offenders","1,420"
"Habitual Lifers","266"
"Death Row","65"
"TOTAL","5,159"
