"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","41","6"
"Habitual Lifers","280","54"
"Habitual","1,796","144"
"Life","1,555","239"
"Armed Robbery (Mandatory)","2,138","12"
