"Other States Offenders Supervised in Mississippi","","","","","",""
"Month","","Parolees","","Probationers","","Total"
"JUL","","267","","717","","984"
"AUG","","252","","672","","924"
"SEP","","254","","677","","931"
"OCT","","268","","767","","1,035"
"NOV","","249","","743","","992"
"DEC","","231","","732","","963"
"JAN","","221","","722","","943"
"FEB","","223","","711","","934"
"MAR","","224","","719","","943"
"APR","","233","","734","","967"
"MAY","","234","","739","","973"
"JUN","","237","","741","","978"
