"JUN-01","JUN-00","JUN-99","JUN-98","JUN-97","TOTAL"
"30","17","23","0","0","181"
"11","0","0","21","31","229"
"11","0","0","0","0","102"
"6","5","7","14","10","74"
"1","2","0","0","0","18"
"32","35","22","38","40","316"
"14","9","11","5","12","107"
"0","1","2","0","5","51"
"20","16","15","7","11","207"
"3","6","6","6","4","40"
"8","4","0","1","0","41"
"5","6","1","0","0","17"
"17","15","19","18","29","172"
"6","7","12","11","15","131"
"26","21","7","16","1","161"
"0","0","0","0","0","21"
"14","31","33","2","0","202"
"44","37","47","43","37","457"
"5","0","0","0","1","38"
"7","1","0","0","0","156"
"4","0","0","0","0","30"
"9","10","18","10","21","95"
"22","3","1","3","17","134"
"85","81","42","36","67","712"
"67","68","53","59","59","553"
"23","7","11","15","3","171"
"14","14","17","9","11","118"
"2","1","0","0","0","4"
"1","2","1","6","11","32"
"22","15","8","4","10","315"
"0","0","0","0","0","21"
"2","2","0","0","0","18"
"0","0","0","0","0","6"
"71","48","92","88","36","710"
"0","0","0","1","0","10"
"26","24","17","0","0","198"
"3","0","0","0","0","55"
