"JUN-01","JUN-00","JUN-99","JUN-98","JUN-97","TOTAL"
"5","0","7","0","0","30"
"12","9","0","1","2","59"
"7","0","0","0","0","11"
"3","8","8","1","1","36"
"1","3","1","0","0","7"
"10","10","10","3","4","69"
"6","10","7","2","0","48"
"5","0","0","0","0","23"
"5","9","4","2","3","49"
"2","2","5","0","0","14"
"2","1","0","0","0","12"
"2","2","0","1","0","7"
"4","14","5","2","1","67"
"5","15","8","5","6","62"
"11","9","8","2","2","64"
"2","0","0","0","0","10"
"13","15","15","4","0","102"
"22","18","12","5","2","103"
"0","0","0","0","0","3"
"2","0","0","0","0","28"
"2","1","0","0","0","6"
"8","2","5","5","0","35"
"8","5","0","3","1","40"
"56","26","22","7","6","238"
"30","28","35","9","8","194"
"5","9","10","1","0","36"
"4","2","2","2","1","18"
"0","0","0","0","0","3"
"3","1","1","0","0","9"
"14","6","5","5","1","77"
"0","2","0","0","0","5"
"4","0","0","0","0","9"
"0","0","0","0","0","2"
"10","23","9","0","1","88"
"3","0","0","0","0","6"
"8","5","5","2","0","49"
"2","0","0","0","0","16"
