"JUN-01","JUN-00","JUN-99","JUN-98","JUN-97","TOTAL"
"23","16","20","11","0","171"
"0","0","0","0","0","4"
"0","0","0","0","0","67"
"27","31","40","31","38","409"
"20","19","28","30","37","334"
"32","30","33","20","32","271"
"47","36","48","86","49","494"
"7","9","8","18","10","130"
"0","0","0","0","0","168"
"18","21","13","0","0","192"
"4","6","14","12","8","156"
"3","9","10","17","9","84"
"0","0","0","0","0","54"
"0","1","0","0","0","54"
"6","2","1","8","3","38"
"6","12","6","20","30","235"
"13","10","7","0","0","133"
"10","0","0","0","0","183"
"0","4","7","3","3","18"
"41","27","37","24","27","421"
"12","5","6","11","10","139"
"22","12","22","16","8","201"
"6","1","2","7","1","32"
"33","41","27","21","11","380"
"0","0","0","0","0","24"
"1","5","1","0","0","15"
"4","0","0","0","0","33"
"0","0","0","0","0","74"
"9","3","2","2","2","33"
"30","53","57","39","29","408"
"0","4","3","7","0","36"
"2","6","5","0","0","31"
"15","5","7","0","2","70"
"5","4","4","12","10","77"
"5","7","0","3","0","30"
"9","15","16","3","2","160"
"8","6","2","6","9","55"
