"JUN-01","JUN-00","JUN-99","JUN-98","JUN-97","TOTAL"
"33","54","41","16","0","222"
"0","0","0","0","0","2"
"0","0","0","0","0","36"
"23","10","6","4","2","112"
"6","4","2","1","3","34"
"12","10","8","2","0","50"
"20","21","19","8","2","152"
"2","2","5","2","0","41"
"1","1","0","0","0","33"
"12","17","6","0","0","52"
"10","11","11","6","2","91"
"5","3","4","4","0","27"
"0","0","0","0","0","55"
"5","0","0","0","0","35"
"1","0","1","2","1","14"
"6","9","6","3","2","68"
"17","7","6","0","0","72"
"7","0","0","0","0","37"
"0","0","0","1","0","1"
"10","17","8","4","0","63"
"9","7","2","1","1","69"
"7","2","3","5","2","45"
"5","4","6","1","1","20"
"24","23","4","7","1","161"
"4","0","0","0","0","37"
"1","1","0","0","1","7"
"3","0","0","0","0","18"
"2","1","0","0","0","14"
"2","0","2","0","0","12"
"8","11","9","3","1","52"
"6","0","0","2","0","25"
"4","2","3","0","0","22"
"4","8","9","0","1","35"
"0","1","0","1","2","10"
"4","3","6","0","0","13"
"8","8","4","3","2","56"
"4","3","3","4","2","19"
