"FIELD OFFICER CASELOADS","","","",""
"","Probation","Parole","ERS","ISP"
"REGION I","","","",""
"92 Field Officers (22 ISP)","","","",""
"Total Caseload","6,053","758","971","500"
"","","","",""
"REGION II","","","",""
"67 Field Officers (15 ISP)","","","",""
"Total Caseload","5,067","465","424","199"
"","","","",""
"REGION III","","","",""
"98 Field Officers (20 ISP)","","","",""
"Total Caseload","6,211","887","784","417"
