"","","","","","",""
"","","","","","",""
"","PROB/PAROLE","HOUSE
ARREST","PRIVATES","REGIONALS","RESTITUTION
CENTERS","TOTALS"
"","$17,473,385","$4,925,166","$69,524,407","$47,669,395","$2,129,842","$250,442,406"
"","$0","$0","$13,752,363","$15,643,254","$42,610","$68,527,641"
"","$400,000","$150,000","$1,691,190","$1,706,008","$95,813","$ 8,305,991"
"","$192,144","$0","$0","$0","$74,285","$3,813,112"
"","$30,000","$0","$0","$0","$30,000","$1,766,843"
"","$28,400","$0","$0","$0","$28,250","$1,057,464"
"","$200,000","$78,575","$78,575","$78,575","$35,725","$785,750"
"","$786,208","$42,251","$130,626","$131,770","$7,400","$1,427,523"
"","$0","$0","$0","$0","$0","$23,307,049"
"","$0","$0","$0","$0","$259,544","$11,807,340"
"","$398,736","$166,235","$0","$0","$28,555","$1,644,032"
"","$0","$0","$0","$0","$46,276","$2,105,217"
"","$0","$0","$157,085","$158,461","$ 8,900","$720,410"
"","","","","","",""
"","$19,508,873","$5,362,227","$ 85,334,246","$65,387,464","$2,787,200","$375,710,778"
"","","","","","","$3,300,000"
"","","","","","","$379,010,778"
