"","PROB/PAROLE","HOUSE
ARREST","PRIVATES","REGIONALS","RESTITUTION
CENTERS","TOTALS"
"","11,201,646","556,221","1,594,461","1,608,432","90,333",""
"","30,689","1,524","4,368","4,407","247","22,096"
"","$19,508,873","$5,362,227","$ 85,334,246","$65,387,464","$2,787,200",""
"","","","$75,179,254","","",""
"","$1.74","$9.64","$53.52","$40.65","$30.85","$375,710,778"
"","","","$47.15","","",""
