"","Authorized Positions","Filled Positions"
"Central Mississippi Correctional Facility","829","704"
"Mississippi State Penitentiary","968","821"
"South Mississippi Correctional Institution","573","413"
"TOTAL STATE PRISONS","2,370","1,938"
