"Rank","Authorized","Filled"
"Correctional Officer Trainee","763","659"
"Correctional Officer I","370","339"
"Correctional Officer II","126","103"
"Correctional Officer III","122","94"
"Correctional Officer IV","497","379"
"Correctional Supervisor","181","121"
"Correctional Commander","47","42"
"Deputy Warden","10","10"
"Warden","7","7"
"Field Worker","50","49"
"Field Officer I","100","92"
"Field Officer II","39","36"
"Field Officer III","154","144"
"TOTAL","2,466","2,075"
