"FIPS","County","Disqualified voters due to felonies"
"28001","Adams","388"
"28003","Alcorn","149"
"28005","Amite","129"
"28007","Attala","334"
"28009","Benton","62"
"28011","Bolivar","478"
"28013","Calhoun","180"
"28015","Carroll","94"
"28017","Chickasaw","306"
"28019","Choctaw","127"
"28021","Claiborne","136"
"28023","Clarke","194"
"28025","Clay","322"
"28027","Coahoma","488"
"28029","Copiah","440"
"28031","Covington","150"
"28033","DeSoto","1218"
"28035","Forrest","315"
"28037","Franklin","36"
"28039","George","177"
"28041","Greene","65"
"28043","Grenada","478"
"28045","Hancock","33"
"28047","Harrison","863"
"28049","Hinds","4674"
"28051","Holmes","323"
"28053","Humphreys","171"
"28055","Issaquena","4"
"28057","Itawamba","173"
"28059","Jackson","1386"
"28061","Jasper","132"
"28063","Jefferson","60"
"28065","Jefferson Davis","177"
"28067","Jones","589"
"28069","Kemper","140"
"28071","Lafayette","339"
"28073","Lamar","155"
"28075","Lauderdale","375"
"28077","Lawrence","144"
"28079","Leake","96"
"28081","Lee","1319"
"28083","Leflore","254"
"28085","Lincoln","434"
"28087","Lowndes","996"
"28089","Madison","686"
"28091","Marion","66"
"28093","Marshall","467"
"28095","Monroe","393"
"28097","Montgomery","191"
"28099","Neshoba","350"
"28101","Newton","97"
"28103","Noxubee","175"
"28105","Oktibbeha","530"
"28107","Panola","681"
"28109","Pearl River","221"
"28111","Perry","54"
"28113","Pike","948"
"28115","Pontotoc","271"
"28117","Prentiss","267"
"28119","Quitman","20"
"28121","Rankin","1072"
"28123","Scott","99"
"28125","Sharkey","43"
"28127","Simpson","185"
"28129","Smith","76"
"28131","Stone","40"
"28133","Sunflower","461"
"28135","Tallahatchie","201"
"28137","Tate","401"
"28139","Tippah","82"
"28141","Tishomingo","156"
"28143","Tunica","234"
"28145","Union","203"
"28147","Walthall","178"
"28149","Warren","419"
"28151","Washington","591"
"28153","Wayne","210"
"28155","Webster","87"
"28157","Wilkinson","25"
"28159","Winston","213"
"28161","Yalobusha","203"
"28163","Yazoo","449"
