"OFFENSE","Average Age at Time of Sentence"
"CAPITAL RAPE","32"
"CHILD ENDANGERMENT","30"
"CHILD MOLESTATION","51"
"CHILD PORNOGRAPHY","28"
"ENTICE CHILD FOR INDECENT PURPOSES","43"
"EXPLOITATION/CHILD","39"
"FONDLING","42"
"FONDLING A CHILD","41"
"GRATIFICATION/LUST","36"
"KIDNAP MINOR","28"
"RAPE","31"
"SEX ASSAULT","38"
"SEX OFFENSE","22"
"SEXUAL BATTERY","34"
"SEXUAL PENETRATION OF INCARCERATED OFFENDER BY 
LAW ENFORCEMENT","47"
"STATUTORY RAPE","29"
"UNLAWFUL TOUCHING/CHILD","43"
"UNNATURAL INTERCOURSE","53"
