"Race","Male","Female","Total","Percent"
"White","404","51","455","54.04%"
"Black","323","54","377","44.77%"
"Hispanic","8","0","8","0.95%"
"Other","1","1","2","0.24%"
"Total","736","106","842","100.00%"
