"Offense","Black","White","Hispanic","Other","Total"
"Drug Intent","225","221","7","2","455"
"Possession of Drugs","531","380","6","6","923"
"Sale of Drugs","539","166","4","1","710"
"Total","1295","767","17","9","2088"
