"OFFENSE","Average Sentence Length in Years"
"CAPITAL RAPE","11.0"
"CHILD ENDANGERMENT","9.2"
"CHILD MOLESTATION","10.0"
"CHILD PORNOGRAPHY","2.0"
"ENTICE CHILD FOR INDECENT PURPOSES","1.0"
"EXPLOITATION/CHILD","5.5"
"FONDLING","5.4"
"FONDLING A CHILD","7.3"
"GRATIFICATION/LUST","6.6"
"KIDNAP MINOR","24.0"
"RAPE","23.8"
"SEX ASSAULT","21.7"
"SEX OFFENSE","30.0"
"SEXUAL BATTERY","8.3"
"STATUTORY RAPE","6.0"
"UNLAWFUL TOUCHING/CHILD","6.1"
"UNNATURAL INTERCOURSE","7.0"
