"Offense","Black","White","Hispanic","Other","Total"
"DRUG","133","84","2","1","220"
"NON-VIOLENT","158","145","3","0","306"
"SEX","30","45","3","0","78"
"VIOLENT","83","49","","0","132"
"Total","404","323","8","1","736"
