"Offense","Male","Female","Total","Percent"
"DRUG","220","43","263","31.24%"
"NON-VIOLENT","306","49","355","42.16%"
"SEX","78","2","80","9.50%"
"VIOLENT","132","12","144","17.10%"
"Total","736","106","842","100.00%"
