"Race","Male","Female","Total","Percent"
"White","1","0","1","12.50%"
"Black","7","0","7","87.50%"
"Hispanic","0","0","0","0.00%"
"Other","0","0","0","0.00%"
"Total","8","0","8","100.00%"
