"40","39","42","74","39","64","39"
"77","71","91","77","63","73","74"
"122","126","93","162","148","131","119"
"60","98","104","83","132","135","94"
"53","61","21","56","37","96","42"
"0","3","2","2","3","7","2"
"122","126","93","162","148","131","119"
"38","20","39","46","76","83","45"
"50","27","50","48","87","88","48"
"2","4","1","4","9","1","3"
"1","1","1","4","4","3","2"
"59","62","124","159","185","123","88"
"9","12","33","30","49","19","18"
"87","80","76","104","114","66","81"
"527","449","487","609","733","657","505"
"0","0","0","0","0","0","0"
"0","3","2","2","1","2","1"
"1,247","1,182","1,259","1,622","1,828","1,679","1,359"
