"Other State Offenders Supervised in Mississippi","","","","","",""
"Jul","","Aug","Sep","Oct","Nov","Dec"
"Parolees 
451","","456","433","422","439","422"
"Probationers 
1,239","","1,247","1,227","1,211","1,215","1,205"
"TOTAL 
1,690","","1,703","1,660","1,633","1,654","1,627"
