"COUNTY","Jun-06","Jun-05","Jun-04","Jun-03","Jun-02","Jun-01"
"Adams","16","33","6","19","19","30"
"Alcorn","25","46","25","25","24","11"
"Amite","9","22","28","12","11","11"
"Attala","2","2","5","11","9","6"
"Benton","1","1","1","3","6","1"
"Bolivar","15","15","27","31","43","32"
"Calhoun","4","5","2","9","20","14"
"Carroll","9","14","10","3","2","0"
"Chickasaw","28","17","36","18","17","20"
"Choctaw","2","2","1","5","5","3"
"Claiborne","11","1","1","4","5","8"
"Clarke","0","1","0","1","1","5"
"Clay","10","26","10","12","10","17"
"Coahoma","21","12","17","12","6","6"
"Copiah","18","8","17","12","19","26"
"Covington","0","1","7","4","3","0"
"DeSoto","26","27","16","15","17","14"
"Forrest","48","56","24","36","54","44"
"Franklin","0","7","0","14","5","5"
"George","28","19","30","29","28","7"
"Greene","0","6","0","7","7","4"
"Grenada","1","0","7","8","5","9"
"Hancock","26","14","5","11","10","22"
"Harrison","27","68","87","74","93","85"
"Hinds","24","50","56","48","53","67"
"Holmes","25","16","13","24","26","23"
"Humphreys","5","3","2","18","20","14"
"Issaquena","1","0","0","0","0","2"
"Itawamba","1","1","1","2","0","1"
"Jackson","14","38","39","61","81","22"
"Jasper","5","5","4","0","1","0"
"Jefferson","0","1","2","0","2","2"
"Jeff Davis","0","0","0","0","0","0"
"Jones","66","86","55","48","63","71"
"Kemper","0","1","2","0","4","0"
"Lafayette","40","13","18","16","16","26"
"Lamar","5","5","5","14","11","3"
"Lauderdale","20","10","19","18","20","23"
"Lawrence","0","0","0","0","0","0"
"Leake","4","6","4","13","6","0"
"Lee","49","30","42","35","46","27"
"Leflore","23","45","40","40","32","20"
"Lincoln","19","16","12","26","33","32"
"Lowndes","18","29","57","34","62","47"
"Madison","36","4","4","2","6","7"
"Marion","39","46","26","14","10","0"
"Marshall","23","15","43","20","19","18"
"Monroe","21","22","12","22","11","4"
"Montgomery","2","3","2","15","9","3"
"Neshoba","10","5","13","16","8","0"
"Newton","6","6","15","19","3","0"
"Noxubee","5","2","0","7","2","6"
"Oktibbeha","40","29","35","28","21","6"
"Panola","23","25","19","6","20","13"
"Pearl River","28","36","29","32","11","10"
"Perry","0","0","0","0","0","0"
"Pike","45","49","56","47","44","41"
"Pontotoc","25","19","17","7","10","12"
"Prentiss","30","26","22","15","15","22"
"Quitman","1","2","4","3","2","6"
"Rankin","47","53","47","36","31","33"
"Scott","0","5","2","8","4","0"
"Sharkey","0","3","0","0","5","1"
"Simpson","5","4","8","4","3","4"
"Smith","18","15","20","3","11","0"
"Stone","1","3","0","2","7","9"
"Sunflower","25","31","34","23","48","30"
"Tallahatchie","4","3","5","1","6","0"
"Tate","1","1","2","3","5","2"
"Tippah","4","8","2","6","9","15"
"Tishomingo","2","12","7","5","6","5"
"Tunica","0","2","1","6","4","5"
"Union","36","13","21","16","18","9"
"Walthall","1","1","0","2","10","8"
"Warren","18","18","12","13","15","26"
"Washington","61","66","70","52","89","102"
"Wayne","1","5","2","2","1","6"
"Webster","9","17","21","7","15","6"
"Wilkinson","0","1","0","2","3","9"
"Winston","2","2","1","6","19","15"
"Yalobusha","4","8","5","3","9","12"
"Yazoo","24","49","36","38","20","7"
"TOTALS","1,243","1,367","1,326","1,263","1,424","1,212"
