"Mississippi Offenders Supervised in Other States","","","","","",""
"Jan","Feb","Mar","Apr","May","Jun","Avg."
"260","263","264","263","260","257","255"
"1,023","1,028","1,034","1,034","1,018","1,016","1,003"
"1,283","1,291","1,298","1,297","1,278","1,273","1,258"
