"Jun-00","Jun-99","Jun-98","Jun-97","Jun-96","TOTAL"
"0","7","0","0","0","20"
"9","0","1","2","5","63"
"0","0","0","0","0","11"
"8","8","1","1","1","32"
"3","1","0","0","0","5"
"10","10","3","4","1","67"
"10","7","2","0","0","45"
"0","0","0","0","0","21"
"9","4","2","3","2","48"
"2","5","0","0","0","13"
"1","0","0","0","0","12"
"2","0","1","0","0","7"
"14","5","2","1","1","60"
"15","8","5","6","3","63"
"9","8","2","2","2","61"
"0","0","0","0","0","10"
"15","15","4","0","0","96"
"18","12","5","2","13","113"
"0","0","0","0","0","3"
"0","0","0","0","0","25"
"1","0","0","0","0","4"
"2","5","5","0","5","35"
"5","0","3","1","9","47"
"26","22","7","6","2","227"
"28","35","9","8","17","200"
"9","10","1","0","0","35"
"2","2","2","1","3","20"
"0","0","0","0","0","3"
"1","1","0","0","1","10"
"6","5","5","1","11","85"
"2","0","0","0","0","5"
"0","0","0","0","0","9"
"0","0","0","0","0","1"
"23","9","0","1","1","83"
"0","0","0","0","0","6"
"5","5","2","0","0","48"
"0","0","0","0","0","15"
"54","41","16","0","0","215"
"0","0","0","0","0","2"
"0","0","0","0","0","32"
"10","6","4","2","8","111"
"4","2","1","3","2","36"
"10","8","2","0","0","50"
"21","19","8","2","0","138"
"2","5","2","0","1","36"
"1","0","0","0","0","31"
"17","6","0","0","0","50"
"11","11","6","2","1","84"
"3","4","4","0","1","28"
"0","0","0","0","0","52"
"0","0","0","0","0","32"
"0","1","2","1","0","11"
"9","6","3","2","1","65"
"7","6","0","0","0","70"
"0","0","0","0","0","37"
"0","0","1","0","0","1"
"17","8","4","0","2","63"
"7","2","1","1","1","64"
"2","3","5","2","5","46"
"4","6","1","1","0","20"
"23","4","7","1","3","156"
"0","0","0","0","0","33"
"1","0","0","1","0","7"
"0","0","0","0","0","18"
"1","0","0","0","0","13"
"0","2","0","0","0","11"
"11","9","3","1","2","52"
"0","0","2","0","4","23"
"2","3","0","0","0","20"
"8","9","0","1","0","33"
"1","0","1","2","1","10"
"3","6","0","0","1","14"
"8","4","3","2","1","53"
"3","3","4","2","3","22"
"11","8","3","4","0","83"
"19","14","3","1","4","84"
"10","5","0","0","0","46"
"3","2","0","4","4","40"
"0","0","0","0","0","2"
"13","15","2","1","0","48"
"2","2","0","0","0","23"
"10","7","0","0","0","44"
"543","411","150","75","122","3,717"
